# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,2.892616702779E+018,-19011910053317.5,9.55602459764632E+031,2.41163679395337E+032,207125982.819336
0.004,3.7964465377145E+019,-249523974063159,1.25415321848239E+033,3.20378699341708E+033,2014011994.3173
0.006,1.64459683840786E+020,-1.08092250904284E+015,5.4327141396838E+033,1.40821829017284E+034,6444617745.04018
0.008,4.13601939820648E+020,-2718427766163313,1.36622393528035E+034,3.59976170432844E+034,11934942919.9281
0.01,7.55958690418927E+020,-4968592942407570,2.49699545551715E+034,6.69503231198395E+034,16016682055.7857
0.012,1.12820194131239E+021,-7415190652752876,3.72636937756133E+034,1.01730261607355E+035,17485216621.2509
0.014,1.47161100743171E+021,-9.67227488446664E+015,4.86038823071035E+034,1.35117600980868E+035,16578239266.9
0.016,1.75045196724011E+021,-1.15049814333764E+016,5.78105273140563E+034,1.63610935443803E+035,14171553177.1536
0.018,1.95186120187275E+021,-1.28287627029442E+016,6.44591748099877E+034,1.85617957370137E+035,11128876271.7889
0.02,2.07834712440928E+021,-1.36601049530207E+016,6.86330862571305E+034,2.00944293148263E+035,8049753626.81206
0.022,2.14018350139629E+021,-1.40665329287791E+016,7.06719141556917E+034,2.10191003121488E+035,5262628927.79331
0.024,2.15015642500095E+021,-1.41320839590268E+016,7.0998179049944E+034,2.14300718642491E+035,2901853243.67344
0.026,2.12066127980771E+021,-1.39382275324823E+016,7.00213979166508E+034,2.14282084407574E+035,987448382.202008
0.028,2.06242591328223E+021,-1.35554732080311E+016,6.80959361692329E+034,2.11069254877738E+035,-517292724.738173
0.03,1.98416427645643E+021,-1.30410941122594E+016,6.55095922623823E+034,2.05465446249455E+035,-1670860097.22947
0.032,1.89268330151726E+021,-1.24398293770354E+016,6.24871477156332E+034,1.98132138967291E+035,-2534913050.43728
0.034,1.79316589409106E+021,-1.17857441112834E+016,5.91997285814828E+034,1.89599794003683E+035,-3165716552.93773
0.036,1.68948834223267E+021,-1.11043155850183E+016,5.57752988967924E+034,1.80286568647586E+035,-3611118689.2721
0.038,1.58450955489658E+021,-1.04143342647398E+016,5.23082200511854E+034,1.7051821446041E+035,-3910287803.89688
0.04,1.48031111654406E+021,-9.72948158710506E+015,4.8867183098038E+034,1.60546155023154E+035,-4094631442.09018
