# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,1.19718094211267E+018,-7868652463320.7,3.94841163016817E+031,1.67539805863385E+032,82394969.848298
0.004,1.59957860674162E+019,-105134731435608,5.27527182515995E+032,2.26746149750374E+033,815982459.407227
0.006,7.0461285970475E+019,-463117580469995,2.3235993385E+033,1.01441875185117E+034,2642057542.41814
0.008,1.80295978391731E+020,-1185023123678714,5.94516628990097E+033,2.64140962624118E+034,4963909396.30302
0.01,3.35454127930443E+020,-2.20482441029486E+015,1.10605138555043E+034,5.00765646336052E+034,6778965679.13407
0.012,5.09725285571011E+020,-3350249322205012,1.68050734523131E+034,7.75906800657629E+034,7553110830.36482
0.014,6.76910748757528E+020,-4449102808916588,2.23149782164556E+034,1.05096181875343E+035,7333754408.89493
0.016,8.19563348722892E+020,-5386710531668910,2.70151826458719E+034,1.29765567730785E+035,6449862363.9403
0.018,9.29905449801172E+020,-6111952621294072,3.06495876719955E+034,1.50087147167253E+035,5248751229.25592
0.02,1.00718009048005E+021,-6619853690814559,3.31935801231509E+034,1.65595272907865E+035,3983894831.5586
0.022,1.0545608108034E+021,-6931272219572481,3.47520772624602E+034,1.76477544133291E+035,2802987287.77896
0.024,1.07684547578324E+021,-7077742853662758,3.54834676047012E+034,1.83251486619005E+035,1773996878.48036
0.026,1.07907640352235E+021,-7092406978125803,3.55541201008939E+034,1.8655245899795E+035,915555923.48644
0.028,1.06585523858456E+021,-7005509607137347,3.5115810895389E+034,1.87014434815263E+035,220142034.29135
0.03,1.04108456398053E+021,-6842701080377585,3.42972219059921E+034,1.85212950762626E+035,-331207573.486441
0.032,1.00793644679356E+021,-6624830317706210,3.32029192786278E+034,1.81644511582999E+035,-760652155.509069
0.034,9.68923836935424E+020,-6368414093861456,3.19157194281225E+034,1.76725089822041E+035,-1089462261.60982
0.036,9.26006543478591E+020,-6086333581258613,3.05001917098002E+034,1.70797315598283E+035,-1336333087.79434
0.038,8.80698307234677E+020,-5788538099196701,2.90061944598467E+034,1.64140666944094E+035,-1516957076.92961
0.04,8.34161016023201E+020,-5482664357250347,2.74719850585755E+034,1.56981834546163E+035,-1644186663.21655
0.042,7.87282114072249E+020,-5174545239990636,2.59267744426742E+034,1.49504041401005E+035,-1728424670.16353
0.044,7.40735850199116E+020,-4868612369954813,2.4392747789928E+034,1.41854934755136E+035,-1778059922.32697
0.046,6.95030751132175E+020,-4568208133380972,2.28866303932381E+034,1.34153064786143E+035,-1799867099.08915
0.048,6.50546063814423E+020,-4275825203007101,2.14208894228756E+034,1.26493125312617E+035,-1799342686.01598
0.05,6.07559671999546E+020,-3993290024375578,2.00046543339372E+034,1.18950174202545E+035,-1780974189.48072
0.052,5.66269554722085E+020,-3.72190385513934E+015,1.8644424191344E+034,1.11583039808484E+035,-1748449596.94026
0.054,5.2681040109771E+020,-3.46255196859235E+015,1.73446152081417E+034,1.04437088365099E+035,-1704818557.76893
0.056,4.89266600863355E+020,-3.215789036183E+015,1.61079887447332E+034,9.75464921658375E+034,-1652615525.56006
0.058,4.5368251328727E+020,-2981906621699820,1.49359895562789E+034,9.09361065374618E+034,-1593954229.54427
0.06,4.20070675069774E+020,-2760987129106362,1.38290160867663E+034,8.46230375033596E+034,-1530600696.06152
0.062,3.88418428649861E+020,-2552947368275156,1.27866386925104E+034,7.8617961712264E+034,-1464030534.13602
0.064,3.58693322225868E+020,-2.35757404756765E+015,1.18077773847524E+034,7.29262449514846E+034,-1395474420.63855
0.066,3.30847539634088E+020,-2.17455289002092E+015,1.08908476058779E+034,6.75488943577838E+034,-1325954953.10981
0.068,3.04821551930974E+020,-2.00349263403735E+015,1.00338803664148E+034,6.24833713152358E+034,-1256317130.67023
0.07,2.8054713547754E+020,-1.84394487029725E+015,9.23462151770783E+033,5.77242861755726E+034,-1187253629.41338
0.072,2.57949867842266E+020,-1695420446545665,8.49061383005347E+033,5.32639917099021E+034,-1119326415.6967
0.074,2.3695118880296E+020,-1.55740301391556E+015,7.7992647534308E+033,4.90930891236107E+034,-1052985202.84778
0.076,2.17470096269371E+020,-1.42936017370138E+015,7.15790216190518E+033,4.52008581884316E+034,-988583461.357252
0.078,1.99424534041621E+020,-1310752598668967,6.56381995684465E+033,4.15756213210392E+034,-926392291.066837
0.08,1.82732518553499E+020,-1.20104143879163E+015,6.01431508227456E+033,3.82050500942335E+034,-866612545.682239
0.082,1.6731304420893E+020,-1.0996942717577E+015,5.50671725681284E+033,3.50764215888812E+034,-809385487.984142
0.084,1.53086800934604E+020,-1.00618981922536E+015,5.03841252923275E+033,3.21768311028802E+034,-754802012.151188
0.086,1.39976732700398E+020,-920021617816740,4.60686160438696E+033,2.94933669753629E+034,-702910833.716229
0.088,1.27908461741119E+020,-840700807399988,4.20961375349286E+033,2.70132526272854E+034,-653725524.963028
0.09,1.16810548665712E+020,-767757840730453,3.84431532747276E+033,2.47239496944927E+034,-607237236.126312
0.092,1.06614844450998E+020,-700744796976503,3.50872129890498E+033,2.26132757454737E+034,-563396717.143198
0.094,9.72565434736015E+019,-639235730306404,3.20069696841125E+033,2.06694553235024E+034,-522145789.569093
0.096,8.86742344767984E+019,-582827004893429,2.91821960700779E+033,1.88811665265171E+034,-483414320.262286
0.098,8.08099312083779E+019,-531137496293320,2.65937943298536E+033,1.72375795823709E+034,-447119539.469964
0.1,7.36090585740886E+019,-483808500443903,2.42237912807955E+033,1.57283826498767E+034,-413169005.984476
0.102,6.70203989393404E+019,-440503380728895,2.20553204509547E+033,1.43437961008266E+034,-381463706.216427
0.104,6.09960086140632E+019,-400907019065323,2.00725943701582E+033,1.3074577663219E+034,-351900514.138155
0.106,5.54911126508225E+019,-364725124452098,1.82608697493494E+033,1.19120203955461E+034,-324374055.126139
0.108,5.04639840063443E+019,-331683438741115,1.66064075362052E+033,1.08479450118248E+034,-298778230.934265
0.11,4.58758117331066E+019,-301526870309916,1.50964293817033E+033,9.87468777313012E+033,-275007398.037829
0.112,4.16905619437996E+019,-274018580228099,1.37190717463984E+033,8.9850849502949E+033,-252957357.063852
0.114,3.78748345904123E+019,-248939040916905,1.24633386461003E+033,8.17245469984753E+033,-232526114.839586
0.116,3.43977185400289E+019,-226085083611717,1.13190538517292E+033,7.43057706073479E+033,-213614506.377849
0.118,3.12306469565398E+019,-205268947836070,1.02768132032427E+033,6.7536726643352E+033,-196126667.144367
0.12,2.83472545992559E+019,-186317343472902,9.32793756602372E+032,6.1363806507211E+033,-179970371.29334
0.122,2.57232383081952E+019,-169070533782895,8.46442684649926E+032,5.57373619802214E+033,-165057297.067188
0.124,2.33362216582955E+019,-153381445820820,7.67891538894581E+032,5.06114799725443E+033,-151303180.083103
0.126,2.11656245209798E+019,-139114813108051,6.9646289954016E+032,4.59437594086899E+033,-138627906.403429
0.128,1.91925380673569E+019,-126146354070297,6.31534374355742E+032,4.1695092384282E+033,-126955551.293194
0.13,1.73996055771436E+019,-114361988634543,5.72534672157216E+032,3.78294512605326E+033,-116214356.12606
