# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,1.00209321166699E+017,-658650097373.786,3.26685559388617E+030,5.29875291149495E+031,6784354.86512562
0.004,1.36013064221714E+018,-8939789203078.41,4.43311928198144E+031,7.28876775179317E+032,67978731.115504
0.006,6.11425841395706E+018,-40187451340028.8,1.99231400193225E+032,3.33027057201111E+033,223902137.918514
0.008,1.59844689070455E+019,-105061817015579,5.2069046399934E+032,8.86847922870675E+033,429126931.329611
0.01,3.03972399937091E+019,-199793277177840,9.89849340010282E+032,1.72055674095342E+034,599336572.147604
0.012,4.72085767657675E+019,-310289905921448,1.53673569065965E+033,2.72868912878008E+034,684807467.874991
0.014,6.40592939902707E+019,-421045383311528,2.0844759438238E+033,3.78276840682536E+034,684173098.125964
0.016,7.92154112520252E+019,-520662697922491,2.5766593331998E+033,4.77911833652772E+034,621972617.254093
0.018,9.1750939301231E+019,-603055556067412,2.98324611349654E+033,5.65369788616034E+034,526733708.3911
0.02,1.01384315172813E+020,-666373312924449,3.29519674944508E+033,6.37738531615531E+034,420606798.021878
0.022,1.08235238068476E+020,-711402717740828,3.51652513265868E+033,6.94511640684154E+034,317420623.990951
0.024,1.12623629672875E+020,-740246531703000,3.65773957850272E+033,7.3657695868529E+034,224295210.890574
0.026,1.14938002011678E+020,-755458343541435,3.73155451921094E+033,7.65490584551984E+034,143948280.737262
0.028,1.15562132197136E+020,-759560621259867,3.75050612497041E+033,7.83027472723164E+034,76592122.1589356
0.03,1.14840754077236E+020,-754819211957769,3.72584022913921E+033,7.90934850493795E+034,21207411.088837
0.032,1.13067992649193E+020,-743167324038246,3.6671407918908E+033,7.90814892131439E+034,-23700639.3398233
0.034,1.10487538124149E+020,-726206671171187,3.58233985298785E+033,7.84081985726365E+034,-59698331.94668
0.036,1.07297990034074E+020,-705242597651550,3.47789487177361E+033,7.71959149173644E+034,-88233550.1180616
0.038,1.03659813535626E+020,-681329800344572,3.35901768448129E+033,7.55492569973189E+034,-110565111.631086
0.04,9.97021749067304E+019,-655317256612800,3.22989881740558E+033,7.35572707856804E+034,-127752929.57297
0.042,9.55289404638432E+019,-627887653641212,3.09390402297878E+033,7.12956120592608E+034,-140675467.944241
0.044,9.12236462443545E+019,-599590052870618,2.95373691297559E+033,6.88285413882819E+034,-150056667.588393
0.046,8.68534880401834E+019,-570866115459242,2.81156941732958E+033,6.62106435219648E+034,-156493546.594858
0.048,8.24724740837247E+019,-542070824077326,2.6691447855207E+033,6.34882669673796E+034,-160480766.109868
0.05,7.81239015968074E+019,-513488760627165,2.52785843885326E+033,6.07007150524431E+034,-162430926.924985
0.052,7.38423048034456E+019,-485346910032529,2.3888215209166E+033,5.78812303566547E+034,-162690808.93366
0.054,6.96549971328417E+019,-457824796746603,2.25291117085564E+033,5.50578132574058E+034,-161553920.56512
0.056,6.5583304313739E+019,-431062589568025,2.1208106877277E+033,5.22539095291669E+034,-159270268.470355
0.058,6.16435620927908E+019,-405167659388963,1.99304200045759E+033,4.94889949958671E+034,-156053820.581329
0.06,5.78479336757807E+019,-380219952031111,1.86999224707149E+033,4.67790787847042E+034,-152088297.294707
0.062,5.42050876008557E+019,-356276443734484,1.75193579556512E+033,4.41371413593256E+034,-147531746.210002
0.064,5.07207659924564E+019,-333374876148029,1.63905268650754E+033,4.15735193201445E+034,-142520136.46353
0.066,4.73982652681742E+019,-311536915894737,1.53144421971577E+033,3.90962458250512E+034,-137170325.613388
0.068,4.42388456927876E+019,-290770846467999,1.42914622150078E+033,3.67113532127568E+034,-131582498.546335
0.07,4.1242082113263E+019,-271073873524324,1.33214039607659E+033,3.44231428010774E+034,-125842211.310915
0.072,3.84061653165938E+019,-252434105633940,1.24036407006962E+033,3.22344257117004E+034,-120022186.60537
0.074,3.57281613902893E+019,-234832258992537,1.15371857151989E+033,3.0146737800335E+034,-114183836.17656
0.076,3.32042349847716E+019,-218243124868780,1.07207643624367E+033,2.81605312403132E+034,-108378624.064732
0.078,3.08298413001559E+019,-202636831486610,9.95287599131309E+032,2.62753449404733E+034,-102649271.989517
0.08,2.85998429176773E+019,-187979611930552,9.23183155454826E+032,2.44899147408015E+034,-97035116.5877196
0.082,2.65087726668254E+019,-174235531901475,8.55583833842998E+032,2.28024109213296E+034,-91557916.1293895
0.084,2.45508830324254E+019,-161366814460251,7.92301575488077E+032,2.12104964620232E+034,-86239792.2030317
0.086,2.27202258291623E+019,-149334363709511,7.33142090334688E+032,1.97114112469179E+034,-81099767.8212172
0.088,2.10107452020922E+019,-138098376062763,6.77907842865833E+032,1.83020682334796E+034,-76151842.5045222
0.09,1.94163569052242E+019,-127618861322854,6.2640059459381E+032,1.69791382455376E+034,-71405556.5437571
0.092,1.79310111510731E+019,-117856055776348,5.78423416292812E+032,1.5739120632249E+034,-66866902.242882
0.094,1.65487423703078E+019,-108770749251853,5.33782278089498E+032,1.45784023259305E+034,-62539019.2356376
0.096,1.52637087615326E+019,-100324545070771,4.92287310572148E+032,1.34933075540085E+034,-58422709.4130026
0.098,1.40702235399705E+019,-92480065437525.9,4.53753798674803E+032,1.24801397029937E+034,-54516842.4667714
0.1,1.29627792281856E+019,-85201111096662.9,4.18002951769596E+032,1.15352163963828E+034,-50818691.2962286
0.102,1.19360660365864E+019,-78452782143309.3,3.84862483850708E+032,1.06548986315761E+034,-47324226.4322328
0.104,1.09849852110017E+019,-72201565754080.6,3.54167032140349E+032,9.83561470157685E+033,-44028365.244539
0.106,1.01046581047441E+019,-66415395815241.4,3.25758438577531E+032,9.0738795463328E+033,-40925193.8553757
0.108,9.29043163786156E+018,-61063688805444.8,2.99485915565922E+032,8.36631011348389E+033,-38008156.5832956
0.11,8.53788072451843E+018,-56117359750342.1,2.75206114710814E+032,7.70963725073999E+033,-35270220.9864974
0.112,7.84280817730632E+018,-51548821593957.9,2.52783114935113E+032,7.10071459933511E+033,-32704018.7995152
0.114,7.20124253292791E+018,-47331970907282.8,2.32088344277697E+032,6.5365249092137E+033,-30301967.0500671
0.116,6.60943418546937E+018,-43442162473590.5,2.13000447805222E+032,6.01418415129104E+033,-28056369.3138296
