# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,2.00766245218647E+017,-1319582056073.34,6.57662034907029E+030,7.39233840140406E+031,13534292.3902174
0.004,2.71910744690094E+018,-17871956286344.2,8.90582142172328E+031,1.01466757684239E+033,135412275.879038
0.006,1.21822911740493E+019,-80070903759700.2,3.98930413391263E+032,4.62039377949606E+033,444733872.044003
0.008,3.17327034010081E+019,-208570488915964,1.03892361421108E+033,1.22589065812239E+034,849477159.678244
0.01,6.0121489547009E+019,-395162341907431,1.96790986825634E+033,2.36932766978222E+034,1181874320.94051
0.012,9.30255992653731E+019,-611432228957495,3.04417766656811E+033,3.74325644731676E+034,1344641892.40812
0.014,1.25768268415067E+020,-826641041775467,4.11458564289936E+033,5.16954671479211E+034,1336927090.54612
0.016,1.54967743281806E+020,-1.01856141872098E+015,5.06852230174207E+033,6.50668477530001E+034,1208673448.63276
0.018,1.78866256446703E+020,-1175640018527639,5.84861168381712E+033,7.66910827502553E+034,1016915618.64199
0.02,1.96980240346176E+020,-1.2946984718549E+015,6.43920271077922E+033,8.61968329396895E+034,805462455.300412
0.022,2.09605917241715E+020,-1.37768375941947E+015,6.85014782191871E+033,9.35412119145922E+034,601351420.824721
0.024,2.17418067864958E+020,-1429031027120557,7.10365387942182E+033,9.88678973161411E+034,418261817.885463
0.026,2.21211307491547E+020,-1453963063294849,7.22581195637873E+033,1.02406811249997E+035,261195421.616922
0.028,2.21758557227389E+020,-1457560068194243,7.24197007778076E+033,1.04412949922251E+035,130272569.087427
0.03,2.19746773731749E+020,-1.44433722226791E+015,7.17463694846033E+033,1.05133467924085E+035,23256420.6670269
0.032,2.15757038502663E+020,-1418113817964611,7.0428373895265E+033,1.04792527355538E+035,-62963298.1012944
0.034,2.10267098848815E+020,-1.38202996050876E+015,6.86220143890675E+033,1.03586248986833E+035,-131587194.517383
0.036,2.03663459171205E+020,-1.33862604038844E+015,6.64536464824213E+033,1.01682862154158E+035,-185544988.294887
0.038,1.96256144617559E+020,-1.28993977070877E+015,6.40245460377542E+033,9.9225181953986E+034,-227367170.166466
0.04,1.88292860924754E+020,-1.23759925591199E+015,6.14155669360109E+033,9.63338583058669E+034,-259173745.546736
0.042,1.79971254590979E+020,-1.18290357451441E+015,5.86911695851772E+033,9.31106274126507E+034,-282714527.739136
0.044,1.7144897856474E+020,-1.12688893813064E+015,5.59027258621492E+033,8.96412356196571E+034,-299426148.251322
0.046,1.62851720034573E+020,-1.0703814559522E+015,5.30911533305896E+033,8.59979351240329E+034,-310489239.690426
0.048,1.54279509881468E+020,-1014038605064423,5.02889844835678E+033,8.2241560287813E+034,-316878605.532582
0.05,1.45811656730269E+020,-958381660640747,4.7521984065324E+033,7.84232375780119E+034,-319404525.623818
0.052,1.37510612411609E+020,-903821102580719,4.48104154536627E+033,7.45857934915779E+034,-318745511.231581
0.054,1.29425020617159E+020,-850676653508986,4.21700388945079E+033,7.07649210587595E+034,-315473737.360362
0.056,1.21592145447767E+020,-799193240970923,3.96129062316064E+033,6.69901560752635E+034,-310074670.872752
0.058,1.14039828966809E+020,-749553863913404,3.71480011165633E+033,6.32857037336762E+034,-302962079.374029
0.06,1.06788088738866E+020,-701890092882126,3.47817611479643E+033,5.96711468512006E+034,-294489760.955943
0.062,9.98504371294262E+019,-656290741431386,3.2518508792791E+033,5.61620591215157E+034,-284960699.959574
0.064,9.32349824297281E+019,-612809103527371,3.03608108121292E+033,5.27705408058191E+034,-274634333.637694
0.066,8.69453560499054E+019,-571469047745861,2.83097807165899E+033,4.95056898001173E+034,-263732525.182806
0.068,8.09814986423379E+019,-532270184256203,2.63653350399375E+033,4.63740177729589E+034,-252444447.914737
0.07,7.53403298923816E+019,-495192267180372,2.45264115511585E+033,4.3379818763497E+034,-240930741.512232
0.072,7.0016320931093E+019,-460198956913062,2.27911556256344E+033,4.05254960153254E+034,-229327055.09491
0.074,6.50019841936326E+019,-427241039833445,2.11570796395213E+033,3.7811851696472E+034,-217747132.728027
0.076,6.02882925790928E+019,-396259183335890,1.96211992753505E+033,3.52383433709484E+034,-206285520.911861
0.078,5.58650375970337E+019,-367186289832517,1.81801499148383E+033,3.28033105325692E+034,-195019955.249227
