"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1283601860356.51,198967706505.132,0,0,0,0,0,0,0,0,0
"2",1920027411734.28,308032487059.102,1335897898893330,7272623820515333,2.56496058515342e+27,1.39636370906211e+28,4.11499952253142e+26,2.24020440287861e+27,1.78462319626761e+30,9.71548288126801e+30,5.2891057234727e+31
"3",2687921093401.48,447745837919.037,2788753063147894,16762907519371832,7.49594818272322e+27,4.50573727080579e+28,1.24865257700844e+27,7.50552207322047e+27,7.77714364721676e+30,4.67476096919131e+31,2.80995068503013e+32
"4",3540156039819.35,614247707796.1,4155203271258396,28339387164409108,1.47100679574225e+28,1.00325852634862e+29,2.55232408479732e+27,1.74074036060845e+28,1.72657142254765e+31,1.17755914251011e+32,8.03120864854276e+32
"5",4411156147486.69,799648999936.711,5189580974007635,41614557033266464,2.28920520163737e+28,1.83568309082229e+29,4.14984323595579e+27,3.32770389144608e+28,2.6931750685782e+31,2.15962113421595e+32,1.73177135707499e+33
"6",5230724634063.42,993422695600.061,5651605656693461,56015019521673344,2.95619929304786e+28,2.9299914248956e+29,5.61443332594097e+27,5.56465916873107e+28,3.19406464987695e+31,3.16574801188484e+32,3.13768241201345e+33
"7",5938577272131.9,1184393453963.48,5352089581298566,70891402377864920,3.17837975459136e+28,4.20994070950746e+29,6.33897986511617e+27,8.39633129186344e+28,2.86448628862447e+31,3.79417136070215e+32,5.02559093110035e+33
"8",6494642999944.26,1362651256292.09,4181716806001292,85629359747683520,2.71587577818456e+28,5.56132121875001e+29,5.69822165915539e+27,1.16682954635668e+29,1.74867554455936e+31,3.58077732744019e+32,7.3323872507982e+33
"9",6882616374784.02,1520852455383.63,2116710197964919,99729770716202320,1.45685042691857e+28,6.8640175298479e+29,3.21920390191052e+27,1.51674266668583e+29,4.48046206216869e+30,2.11099022715689e+32,9.94602716710629e+33
"10",7107268194510.89,1654700086915.69,-795043448793305,112844734384109664,-5.6505870168629e+27,8.02017791606212e+29,-1.31555846382003e+27,1.86724191793364e+29,6.32094085469152e+29,-8.9716466802907e+31,1.27339340782203e+34
"11",7188026600945.74,1762714769425.7,-4458124016844497,124774324585485216,-3.20451140233933e+28,8.96881164235506e+29,-7.85840104842322e+27,2.19941544791951e+29,1.98748697495657e+31,-5.56259413120102e+32,1.5568632075764e+34
"12",7151725221178.67,1845582829812.93,-8754438081911816,135439220994714800,-6.26093356276558e+28,9.68624092724694e+29,-1.61570406086369e+28,2.49964300751085e+29,7.66401861300278e+31,-1.1856942740606e+33,1.83437825836552e+34
"13",7026592466119.2,1905380370934.18,-13562671543377654,144845138254453824,-9.52993656871467e+28,1.01776775721274e+30,-2.58420481361793e+28,2.75985083255284e+29,1.83946059393546e+32,-1.96448703480028e+33,2.09801140759518e+34
"14",6838350341750.68,1944882635840.57,-18770333906449104,153050101366631520,-1.28358119283941e+29,1.04661021298548e+30,-3.65060964835823e+28,2.97664484561601e+29,3.52325434959593e+32,-2.87280150706756e+33,2.34243335283362e+34
"15",6608338527460.95,1967054852372.18,-24279305491399736,160139568175558464,-1.60445869898811e+29,1.0582564781455e+30,-4.77587256790843e+28,3.15003314636517e+29,5.89484675144713e+32,-3.88807749699522e+33,2.56446812954543e+34
"16",6353107651071.73,1974733936594.35,-30006990650903600,166209946470283296,-1.90637641889894e+29,1.05594968260458e+30,-5.92558227734088e+28,3.28220421894399e+29,9.00419487923416e+32,-4.98746030982098e+33,2.76257463056544e+34
"17",6084853485243.02,1970464638983.9,-35885123382554876,171358858098152992,-2.18355718082715e+29,1.04269354492581e+30,-7.07103666908986e+28,3.3765657045907e+29,1.28774208018119e+33,-6.14923376554593e+33,2.93638582487029e+34
"18",5812201249782.38,1956441020780.67,-41857673412525760,175679997716079072,-2.43285221721265e+29,1.02108750228716e+30,-8.18920692987059e+28,3.43707554062392e+29,1.75206482350967e+33,-7.35355596951291e+33,3.08634615975215e+34
"19",5541037299453.01,1934509872308.54,-47878664816764056,179260773632686144,-2.65297467597698e+29,9.93290633027517e+29,-9.26217497609814e+28,3.46781736310097e+29,2.29236654463604e+33,-8.5827664955532e+33,3.21344249633891e+34
"20",5275240532170.97,1906204796325.99,-53910260627684144,182181484290799232,-2.8438959196306e+29,9.61051150141893e+29,-1.02763997379676e+29,3.4727521915691e+29,2.90631620094483e+33,-9.82145129965533e+33,3.31900932183987e+34
"21",5017265090065.71,1872791408672.37,-59921206880535016,184515276155691904,-3.00640579436313e+29,9.25762053639787e+29,-1.12219921443145e+29,3.45558623953189e+29,3.59055103401988e+33,-1.10563780351443e+34,3.40458871348112e+34
"22",4768577549828.87,1835312922239.03,-65885611966129352,186328466059824768,-3.14180650078421e+29,8.8852174014693e+29,-1.20920715031064e+29,3.41971041540574e+29,4.34091386415137e+33,-1.22763650130617e+34,3.47182972642073e+34
"23",4529972496390.79,1794631085460.93,-71781999332326104,187681012512812736,-3.2517048271138e+29,8.50189824777818e+29,-1.28822207378328e+29,3.36818179206276e+29,5.15265542814606e+33,-1.3472118314885e+34,3.52241624578346e+34
"24",4301794545010.89,1751460740365.36,-77592569904384272,188627030409640960,-3.33787293948056e+29,8.11434730457797e+29,-1.35900339931584e+29,3.3037283833419e+29,6.02060690436676e+33,-1.46360560429165e+34,3.55801566011596e+34
"25",4084091857842.16,1706397964603.52,-83302621342379632,189215299985408256,-3.40215557561321e+29,7.72772666049568e+29,-1.42147423504774e+29,3.22876602766945e+29,6.93932672251188e+33,-1.57621304868692e+34,3.5802429748568e+34
"26",3876721015246.49,1659942514729.25,-88900083858807248,189489748660644864,-3.44640823352613e+29,7.34598890806497e+29,-1.4756902876023e+29,3.14542089907164e+29,7.90322491010296e+33,-1.68456545463156e+34,3.59063648474744e+34
"27",3679418017752.84,1612515527805.98,-94375143092484704,189489897745797216,-3.47245601922491e+29,6.9721254394803e+29,-1.52181383675543e+29,3.05555402477466e+29,8.90666763372696e+33,-1.78831362143399e+34,3.59064213477127e+34
"28",3491846005688.62,1564473426661.38,-99719928753824896,189251272215438912,-3.48206634906597e+29,6.60836298956969e+29,-1.56009178643925e+29,2.96078586342914e+29,9.94406419066791e+33,-1.88721233818943e+34,3.58160440351622e+34
"29",3313627108382.04,1516118856560.14,-104928253725841360,188805774591555328,-3.47693105981136e+29,6.25631932905646e+29,-1.59083704059674e+29,2.862519950857e+29,1.10099384299545e+34,-1.98110602212467e+34,3.56476205191172e+34
"30",3144363536955.72,1467709333205.57,-109995392550926752,188182025167831072,-3.45865501570265e+29,5.91712698248211e+29,-1.61441264256605e+29,2.76196514680351e+29,1.20989863824325e+34,-2.0699155729364e+34,3.54124745962662e+34
