"","V1","V2"
"1",1048.6314123277,0
"2",821.867379107902,-3.69623620849989e-30
"3",606.173988993285,-2.11080675922467e-29
"4",403.381832770945,-5.43279117615404e-29
"5",214.956139056624,-1.17402279869076e-28
"6",41.8494744322733,-5.82341378732262e-28
"7",-115.611135617428,1.9809572958776e-28
"8",-257.771780301538,7.85329905484693e-29
"9",-385.611152053977,4.77037826712125e-29
"10",-500.608954380487,3.37455365131902e-29
"11",-604.546447906675,2.57455934322854e-29
"12",-699.283778760759,2.11149989401975e-29
"13",-786.564219873461,1.82812911197647e-29
"14",-867.881868137213,1.60672408988008e-29
"15",-944.424354401347,1.43887962257447e-29
"16",-1017.07873250489,1.39168056651753e-29
"17",-1086.47633972057,1.27681626993455e-29
"18",-1153.05230040978,1.23682072766447e-29
"19",-1217.10261340474,1.27378705973807e-29
"20",-1278.83047393576,1.16206212885527e-29
"21",-1338.37999843577,1.11008761080341e-29
"22",-1395.85897804869,1.12127483575927e-29
"23",-1451.35340475686,1.10139732060198e-29
"24",-1504.93637068877,1.08135579604458e-29
"25",-1556.67334526704,1.09559337677744e-29
"26",-1606.62521401025,1.09321554132398e-29
"27",-1654.84997331333,1.16488808093473e-29
"28",-1701.4036363862,1.14583712747896e-29
"29",-1746.34068660879,1.12538056806722e-29
"30",-1789.71427872592,1.1236570093e-29
"31",-1831.57630577943,1.14255470815459e-29
"32",-1871.97740006295,1.11842310646166e-29
"33",-1910.96690673866,1.22828822491215e-29
"34",-1948.59285115054,1.25126774850894e-29
"35",-1984.9019105218,1.29956084547797e-29
"36",-2019.93939475668,1.37601200218629e-29
"37",-2053.74923773297,1.3248044163122e-29
"38",-2086.37399871229,1.48853791528054e-29
"39",-2117.85487266015,1.46331687846162e-29
"40",-2148.23170796233,1.46410305242442e-29
"41",-2177.54303000755,1.55649144892323e-29
"42",-2205.82606923463,1.46006958787673e-29
"43",-2233.11679243223,1.48857675278597e-29
"44",-2259.44993628324,1.65858556404003e-29
"45",-2284.85904233876,1.73067157778972e-29
"46",-2309.37649277811,1.65275803154317e-29
"47",-2333.03354645631,1.80599701726454e-29
"48",-2355.86037485989,1.92822910133364e-29
"49",-2377.88609768839,1.97076820135887e-29
"50",-2399.13881785461,2.10534268546003e-29
"51",-2419.64565575655,2.00941673759624e-29
"52",-2439.43278271927,2.051014099182e-29
"53",-2458.52545353995,2.19736013209186e-29
"54",-2476.94803809589,2.40807481585335e-29
"55",-2494.72405199433,2.34779438825924e-29
"56",-2511.8761862579,2.63679862548607e-29
"57",-2528.42633604994,2.57182415440644e-29
"58",-2544.39562845118,3.02085238493107e-29
"59",-2559.80444930524,3.02563150854628e-29
"60",-2574.67246915338,3.02467177236284e-29
"61",-2589.01866828194,3.09277993725947e-29
"62",-2602.86136090728,3.24005707397189e-29
"63",-2616.2182185239,3.31205000125063e-29
"64",-2629.10629244234,3.38400656578543e-29
"65",-2641.54203554307,3.72854209873373e-29
"66",-2653.54132327225,3.71761787340122e-29
"67",-2665.11947390393,4.19708996599115e-29
"68",-2676.29126809264,4.08614734315993e-29
"69",-2687.07096773938,4.50435976336445e-29
"70",-2697.47233419466,4.72367635095796e-29
"71",-2707.50864582234,4.59168617117753e-29
"72",-2717.19271494792,5.32320958141847e-29
"73",-2726.53690421386,5.05225280004996e-29
"74",-2735.55314236265,5.71876598660155e-29
"75",-2744.25293946731,5.41471144002537e-29
"76",-2752.64740162738,6.14221845732906e-29
"77",-2760.7472451489,6.44543112414743e-29
"78",-2768.56281022595,6.59503184099337e-29
"79",-2776.1040741416,7.09912474079753e-29
"80",-2783.38066400528,7.45123453723681e-29
"81",-2790.40186904291,7.43027530791052e-29
