"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",128360186035651,19896770650513.2,0,0,0,0,0,0,0,0,0
"2",192002741173428,30803248705910.2,133589789889332976,727262382051533312,2.56496058515342e+31,1.39636370906211e+32,4.11499952253142e+30,2.24020440287861e+31,1.78462319626761e+34,9.71548288126802e+34,5.2891057234727e+35
"3",268792109340148,44774583791903.7,278875306314789536,1676290751937183232,7.49594818272323e+31,4.50573727080579e+32,1.24865257700844e+31,7.50552207322047e+31,7.77714364721677e+34,4.67476096919131e+35,2.80995068503013e+36
"4",354015603981935,61424770779610,415520327125839744,2833938716440910336,1.47100679574226e+32,1.00325852634862e+33,2.55232408479733e+31,1.74074036060845e+32,1.72657142254765e+35,1.17755914251011e+36,8.03120864854275e+36
"5",441115614748669,79964899993671.1,518958097400763584,4161455703326646272,2.28920520163737e+32,1.83568309082229e+33,4.14984323595579e+31,3.32770389144608e+32,2.6931750685782e+35,2.15962113421595e+36,1.73177135707499e+37
"6",523072463406342,99342269560006,565160565669346304,5601501952167333888,2.95619929304786e+32,2.9299914248956e+33,5.61443332594097e+31,5.56465916873107e+32,3.19406464987696e+35,3.16574801188484e+36,3.13768241201345e+37
"7",593857727213190,118439345396348,535208958129856704,7089140237786491904,3.17837975459136e+32,4.20994070950746e+33,6.33897986511617e+31,8.39633129186344e+32,2.86448628862447e+35,3.79417136070215e+36,5.02559093110035e+37
"8",649464299994426,136265125629209,418171680600129344,8562935974768351232,2.71587577818456e+32,5.56132121875001e+33,5.69822165915539e+31,1.16682954635668e+33,1.74867554455937e+35,3.58077732744019e+36,7.3323872507982e+37
"9",688261637478402,152085245538363,211671019796492032,9972977071620233216,1.45685042691857e+32,6.8640175298479e+33,3.21920390191052e+31,1.51674266668583e+33,4.48046206216869e+34,2.11099022715689e+36,9.94602716710629e+37
"10",710726819451089,165470008691569,-79504344879330336,1.1284473438411e+19,-5.6505870168629e+31,8.02017791606212e+33,-1.31555846382003e+31,1.86724191793364e+33,6.3209408546915e+33,-8.97164668029068e+35,1.27339340782203e+38
"11",718802660094574,176271476942570,-445812401684449664,12477432458548523008,-3.20451140233933e+32,8.96881164235506e+33,-7.85840104842322e+31,2.19941544791951e+33,1.98748697495657e+35,-5.56259413120102e+36,1.5568632075764e+38
"12",715172522117867,184558282981293,-875443808191181568,13543922099471480832,-6.26093356276558e+32,9.68624092724694e+33,-1.61570406086369e+32,2.49964300751085e+33,7.66401861300278e+35,-1.1856942740606e+37,1.83437825836552e+38
