"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1283601860356511,198967706505132,0,0,0,0,0,0,0,0,0
"2",1920027411734282,308032487059102,1335897898893329408,7272623820515332096,2.56496058515342e+33,1.39636370906211e+34,4.11499952253142e+32,2.24020440287861e+33,1.78462319626761e+36,9.71548288126801e+36,5.2891057234727e+37
"3",2687921093401484,447745837919037,2788753063147894784,16762907519371829248,7.49594818272323e+33,4.50573727080579e+34,1.24865257700844e+33,7.50552207322047e+33,7.77714364721677e+36,4.67476096919131e+37,2.80995068503013e+38
"4",3540156039819353,614247707796100,4155203271258397184,28339387164409106432,1.47100679574225e+34,1.00325852634862e+35,2.55232408479733e+33,1.74074036060845e+34,1.72657142254765e+37,1.17755914251011e+38,8.03120864854276e+38
"5",4411156147486686,799648999936711,5189580974007634944,41614557033266462720,2.28920520163737e+34,1.83568309082229e+35,4.14984323595579e+33,3.32770389144608e+34,2.6931750685782e+37,2.15962113421595e+38,1.73177135707499e+39
"6",5230724634063415,993422695600060,5651605656693460992,56015019521673330688,2.95619929304786e+34,2.9299914248956e+35,5.61443332594097e+33,5.56465916873107e+34,3.19406464987695e+37,3.16574801188484e+38,3.13768241201344e+39
"7",5938577272131903,1184393453963482,5352089581298565120,70891402377864912896,3.17837975459136e+34,4.20994070950746e+35,6.33897986511617e+33,8.39633129186344e+34,2.86448628862447e+37,3.79417136070215e+38,5.02559093110035e+39
"8",6494642999944261,1362651256292086,4181716806001290752,85629359747683500032,2.71587577818456e+34,5.56132121875002e+35,5.69822165915539e+33,1.16682954635668e+35,1.74867554455936e+37,3.58077732744019e+38,7.3323872507982e+39
"9",6882616374784025,1520852455383631,2116710197964917760,99729770716202319872,1.45685042691857e+34,6.8640175298479e+35,3.21920390191052e+33,1.51674266668583e+35,4.48046206216868e+36,2.11099022715688e+38,9.94602716710629e+39
"10",7107268194510893,1654700086915692,-795043448793307008,1.1284473438411e+20,-5.65058701686292e+33,8.02017791606212e+35,-1.31555846382004e+33,1.86724191793364e+35,6.32094085469156e+35,-8.97164668029072e+37,1.27339340782203e+40
