"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",12836018603565114,1989677065051320,0,0,0,0,0,0,0,0,0
"2",19200274117342820,3080324870591024,13358978988933296128,72726238205153320960,2.56496058515343e+35,1.39636370906211e+36,4.11499952253142e+34,2.24020440287861e+35,1.78462319626761e+38,9.71548288126801e+38,5.2891057234727e+39
"3",26879210934014832,4477458379190370,2.7887530631479e+19,1.67629075193718e+20,7.49594818272323e+35,4.50573727080579e+36,1.24865257700844e+35,7.50552207322046e+35,7.77714364721677e+38,4.67476096919131e+39,2.80995068503013e+40
"4",35401560398193528,6142477077960996,4.1552032712584e+19,2.83393871644091e+20,1.47100679574225e+36,1.00325852634862e+37,2.55232408479733e+35,1.74074036060845e+36,1.72657142254765e+39,1.17755914251011e+40,8.03120864854275e+40
"5",44111561474866864,7996489999367113,51895809740076359680,4.16145570332665e+20,2.28920520163737e+36,1.83568309082229e+37,4.14984323595579e+35,3.32770389144608e+36,2.6931750685782e+39,2.15962113421595e+40,1.73177135707499e+41
"6",52307246340634144,9934226956000606,56516056566934618112,5.60150195216733e+20,2.95619929304786e+36,2.9299914248956e+37,5.61443332594097e+35,5.56465916873107e+36,3.19406464987695e+39,3.16574801188484e+40,3.13768241201344e+41
"7",59385772721319032,11843934539634814,53520895812985667584,7.08914023778649e+20,3.17837975459136e+36,4.20994070950746e+37,6.33897986511617e+35,8.39633129186344e+36,2.86448628862447e+39,3.79417136070215e+40,5.02559093110035e+41
"8",64946429999442584,13626512562920860,41817168060012937216,8.56293597476835e+20,2.71587577818456e+36,5.56132121875001e+37,5.69822165915539e+35,1.16682954635668e+37,1.74867554455937e+39,3.58077732744019e+40,7.3323872507982e+41
"9",68826163747840240,15208524553836308,21167101979649208320,9.97297707162023e+20,1.45685042691857e+36,6.8640175298479e+37,3.21920390191052e+35,1.51674266668583e+37,4.48046206216869e+38,2.11099022715689e+40,9.94602716710628e+41
"10",71072681945108920,16547000869156918,-7950434487933023232,1.1284473438411e+21,-5.65058701686289e+35,8.02017791606212e+37,-1.31555846382003e+35,1.86724191793364e+37,6.32094085469148e+37,-8.97164668029067e+39,1.27339340782203e+42
"11",71880266009457440,17627147694256984,-4.4581240168445e+19,1.24774324585485e+21,-3.20451140233933e+36,8.96881164235506e+37,-7.85840104842321e+35,2.19941544791951e+37,1.98748697495657e+39,-5.56259413120102e+40,1.5568632075764e+42
"12",71517252211786744,18455828298129336,-87544380819118129152,1.35439220994715e+21,-6.26093356276558e+36,9.68624092724694e+37,-1.61570406086369e+36,2.49964300751085e+37,7.66401861300278e+39,-1.1856942740606e+41,1.83437825836552e+42
"13",70265924661192000,19053803709341776,-1.35626715433777e+20,1.44845138254454e+21,-9.52993656871467e+36,1.01776775721274e+38,-2.58420481361793e+36,2.75985083255283e+37,1.83946059393546e+40,-1.96448703480028e+41,2.09801140759518e+42
"14",68383503417506792,19448826358405684,-1.87703339064491e+20,1.53050101366632e+21,-1.28358119283941e+37,1.04661021298548e+38,-3.65060964835823e+36,2.97664484561600e+37,3.52325434959593e+40,-2.87280150706756e+41,2.34243335283362e+42
"15",66083385274609480,19670548523721776,-2.42793054913997e+20,1.60139568175558e+21,-1.60445869898811e+37,1.0582564781455e+38,-4.77587256790843e+36,3.15003314636517e+37,5.89484675144713e+40,-3.88807749699522e+41,2.56446812954543e+42
"16",63531076510717320,19747339365943536,-3.00069906509036e+20,1.66209946470283e+21,-1.90637641889894e+37,1.05594968260458e+38,-5.92558227734088e+36,3.28220421894399e+37,9.00419487923416e+40,-4.98746030982098e+41,2.76257463056544e+42
"17",60848534852430208,19704646389838960,-3.58851233825549e+20,1.71358858098153e+21,-2.18355718082715e+37,1.04269354492581e+38,-7.07103666908986e+36,3.3765657045907e+37,1.28774208018119e+41,-6.14923376554593e+41,2.93638582487029e+42
"18",58122012497823752,19564410207806724,-4.18576734125258e+20,1.75679997716079e+21,-2.43285221721265e+37,1.02108750228716e+38,-8.18920692987059e+36,3.43707554062392e+37,1.75206482350967e+41,-7.35355596951291e+41,3.08634615975216e+42
"19",55410372994530160,19345098723085356,-4.78786648167641e+20,1.79260773632686e+21,-2.65297467597698e+37,9.93290633027518e+37,-9.26217497609814e+36,3.46781736310097e+37,2.29236654463604e+41,-8.5827664955532e+41,3.21344249633891e+42
