# time,O2,Inert
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999737e-04,5.468363793951280463e-05,1.066883697229887483e-05
5.999999999999999474e-04,4.544560253037821279e-04,1.273805637844662320e-04
8.999999999999999754e-04,2.065596776505263573e-03,7.934598190420281494e-04
1.199999999999999895e-03,6.728617311015328180e-03,3.437735823027173680e-03
1.499999999999999814e-03,1.750743010215136466e-02,1.165245760740795701e-02
1.799999999999999734e-03,3.861432792269976072e-02,3.295164709248916968e-02
2.099999999999999870e-03,7.497947504903217097e-02,8.095420892186047657e-02
2.399999999999999790e-03,1.315826206060900505e-01,1.776525337898841317e-01
2.699999999999999709e-03,2.127384825049395412e-01,3.553332702042830138e-01
2.999999999999999629e-03,3.215119570468085719e-01,6.577460574586334596e-01
3.299999999999999548e-03,4.593687248204215701e-01,1.140250345788338615e+00
3.599999999999999468e-03,6.260852318985613563e-01,1.868858747492582406e+00
3.899999999999999387e-03,8.198798642149404126e-01,2.918280314495504513e+00
4.199999999999999740e-03,1.037695149567829711e+00,4.369206073305677229e+00
4.499999999999999660e-03,1.275555508501086788e+00,6.305152583973550051e+00
4.799999999999999580e-03,1.528936795190920295e+00,8.809188776727838288e+00
5.099999999999999499e-03,1.793102880233311547e+00,1.196083182275509493e+01
5.399999999999999419e-03,2.063383827285924621e+00,1.583332934338397990e+01
5.699999999999999338e-03,2.335386020199154533e+00,2.049146666444935150e+01
5.999999999999999258e-03,2.605135640664169916e+00,2.598996326753377062e+01
6.299999999999999177e-03,2.869163441324729558e+00,3.237246070108970031e+01
6.599999999999999097e-03,3.124541763391118554e+00,3.967105867650921169e+01
6.899999999999999016e-03,3.368885318788693795e+00,4.790632695957982889e+01
7.199999999999998936e-03,3.600326368656246778e+00,5.708770585939733166e+01
7.499999999999998855e-03,3.817473318451315212e+00,6.721420449484079995e+01
7.799999999999998775e-03,4.019359910163120553e+00,7.827531029632191917e+01
8.099999999999999561e-03,4.205390421041029114e+00,9.025203242249044422e+01
8.399999999999999481e-03,4.375284728501758202e+00,1.031180135480910565e+02
8.699999999999999400e-03,4.529025830220303916e+00,1.168406570401694466e+02
8.999999999999999320e-03,4.666811417966166609e+00,1.313822286847615430e+02
9.299999999999999239e-03,4.789010364971243661e+00,1.467009031245662527e+02
9.599999999999999159e-03,4.896124458669481427e+00,1.627517346470485506e+02
9.899999999999999079e-03,4.988755350684368040e+00,1.794875398019528063e+02
1.019999999999999900e-02,5.067576464551058812e+00,1.968596855726196395e+02
1.049999999999999892e-02,5.133309465256294502e+00,2.148187816196530093e+02
1.079999999999999884e-02,5.186704826070434038e+00,2.333152786497493025e+02
1.109999999999999876e-02,5.228526006160142181e+00,2.522999774434157416e+02
1.139999999999999868e-02,5.259536761143601247e+00,2.717244547035036248e+02
1.169999999999999860e-02,5.280491136386310735e+00,2.915414128446115569e+02
1.199999999999999852e-02,5.292125731103539898e+00,3.117049612903814477e+02
1.229999999999999843e-02,5.295153864476503713e+00,3.321708369149972100e+02
1.259999999999999835e-02,5.290261319161662534e+00,3.528965710657523118e+02
1.289999999999999827e-02,5.278103380329034700e+00,3.738416102220666630e+02
1.319999999999999819e-02,5.259302928250862763e+00,3.949673968501376180e+02
1.349999999999999811e-02,5.234449378708561085e+00,4.162374164525809874e+02
1.379999999999999803e-02,5.204098297789474081e+00,4.376172162266782948e+02
1.409999999999999795e-02,5.168771546002401074e+00,4.590744001602508888e+02
1.439999999999999787e-02,5.128957831234759013e+00,4.805786048293976478e+02
1.469999999999999779e-02,5.085113571193069504e+00,5.021014596295643173e+02
1.499999999999999771e-02,5.037663983951876645e+00,5.236165346780032905e+02
1.529999999999999763e-02,4.987004340439436412e+00,5.450992791753752726e+02
1.559999999999999755e-02,4.933501325459499931e+00,5.665269526081882532e+02
1.589999999999999747e-02,4.877494464514518846e+00,5.878785508113062406e+02
1.619999999999999912e-02,4.819297582555706505e+00,6.091347285890260537e+02
1.650000000000000078e-02,4.759200268107713683e+00,6.302777203115691691e+02
1.680000000000000243e-02,4.697469322236546674e+00,6.512912596582227707e+02
1.710000000000000409e-02,4.634350176754873374e+00,6.721604994655068595e+02
1.740000000000000574e-02,4.570068270066986571e+00,6.928719324553881052e+02
1.770000000000000739e-02,4.504830372298641805e+00,7.134133134614970686e+02
1.800000000000000905e-02,4.438825853964607937e+00,7.337735836375218241e+02
1.830000000000001070e-02,4.372227894508602830e+00,7.539427970186341099e+02
1.860000000000001236e-02,4.305194628698888692e+00,7.739120497113735837e+02
1.890000000000001401e-02,4.237870230155598605e+00,7.936734119075345006e+02
1.920000000000001567e-02,4.170385932287654640e+00,8.132198628511831657e+02
1.950000000000001732e-02,4.102860987681857807e+00,8.325452288330956208e+02
1.980000000000001897e-02,4.035403567559180615e+00,8.516441242420147546e+02
2.010000000000002063e-02,3.968111603330496173e+00,8.705118956657186118e+02
2.040000000000002228e-02,3.901073572576594817e+00,8.891445690057039428e+02
2.070000000000002394e-02,3.834369231970495395e+00,9.075387995462118624e+02
2.100000000000002559e-02,3.768070299774468168e+00,9.256918249004010022e+02
2.130000000000002724e-02,3.702241090596740225e+00,9.436014207428789859e+02
2.160000000000002890e-02,3.636939105097337865e+00,9.612658592278150991e+02
2.190000000000003055e-02,3.572215577300179579e+00,9.786838699848776741e+02
