# time,A,Inert
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999737e-04,5.309829334006555338e-03,1.428301624162097263e-04
5.999999999999999474e-04,3.728866896546154802e-02,1.262030347422679090e-03
8.999999999999999754e-04,1.402358106365199919e-01,5.890123322119308370e-03
1.199999999999999895e-03,3.764894934505363944e-01,1.935851020615560886e-02
1.499999999999999814e-03,8.112838774079094151e-01,5.039030686367509254e-02
1.799999999999999734e-03,1.495520349781429337e+00,1.107633517306432641e-01
2.099999999999999870e-03,2.454031400471020863e+00,2.140454142114143754e-01
2.399999999999999790e-03,3.682312676239526184e+00,3.737788428768251126e-01
2.699999999999999709e-03,5.150444242544615747e+00,6.016350548491474770e-01
2.999999999999999629e-03,6.810979621437444287e+00,9.059731566505155875e-01
3.299999999999999548e-03,8.607678065395875322e+00,1.291031670090707184e+00
3.599999999999999468e-03,1.048302206121521252e+01,1.756773904025129118e+00
3.899999999999999387e-03,1.238361994226763763e+01,2.299263912014576583e+00
4.199999999999999740e-03,1.426342657605042064e+01,2.911386774909482611e+00
4.499999999999999660e-03,1.608515623907659275e+01,3.583727396688138445e+00
4.799999999999999580e-03,1.782040512110435415e+01,4.305458882267236831e+00
5.099999999999999499e-03,1.944897185110804472e+01,5.065140936042832109e+00
5.399999999999999419e-03,2.095776182650206820e+01,5.851375064088129463e+00
5.699999999999999338e-03,2.233954506171074428e+01,6.653299329001310269e+00
5.999999999999999258e-03,2.359173663953672317e+01,7.460929365988488549e+00
6.299999999999999177e-03,2.471529297790187130e+01,8.265365809796719532e+00
6.599999999999999097e-03,2.571376531656728659e+01,9.058893870881799870e+00
6.899999999999999016e-03,2.659251943236994009e+01,9.835001238019446035e+00
7.199999999999998936e-03,2.735811224264137920e+01,1.058833798903121348e+01
7.499999999999998855e-03,2.801780698910251033e+01,1.131463835242414362e+01
7.799999999999998775e-03,2.857920555748106040e+01,1.201062000382581196e+01
8.099999999999999561e-03,2.904997669824948403e+01,1.267387268648542964e+01
8.399999999999999481e-03,2.943766084453111276e+01,1.330274459500218320e+01
8.699999999999999400e-03,2.974953487028379939e+01,1.389623224424509296e+01
8.999999999999999320e-03,2.999252291461790421e+01,1.445387744042345268e+01
9.299999999999999239e-03,3.017314200875017605e+01,1.497567340410018666e+01
9.599999999999999159e-03,3.029747354025988315e+01,1.546198097198191945e+01
9.899999999999999079e-03,3.037115353188521638e+01,1.591345503209705115e+01
1.019999999999999900e-02,3.039937630858143791e+01,1.633098084185623833e+01
1.049999999999999892e-02,3.038690741183991051e+01,1.671561957043591207e+01
1.079999999999999884e-02,3.033810263873037627e+01,1.706856223988801702e+01
1.109999999999999876e-02,3.025693087995841779e+01,1.739109117004262117e+01
1.139999999999999868e-02,3.014699904802919761e+01,1.768454802809900528e+01
1.169999999999999860e-02,3.001157785958033131e+01,1.795030762098003763e+01
1.199999999999999852e-02,2.985362759547452782e+01,1.818975663004029641e+01
1.229999999999999843e-02,2.967582323320088378e+01,1.840427656173317672e+01
1.259999999999999835e-02,2.948057854853006177e+01,1.859523026636019694e+01
1.289999999999999827e-02,2.927006893307562763e+01,1.876395145484670834e+01
1.319999999999999819e-02,2.904625278389940135e+01,1.891173671740670770e+01
1.349999999999999811e-02,2.881089140027069817e+01,1.903983961615892539e+01
1.379999999999999803e-02,2.856556737865796691e+01,1.914946648537197760e+01
1.409999999999999795e-02,2.831170153577193460e+01,1.924177362780539369e+01
1.439999999999999787e-02,2.805056841541102841e+01,1.931786564373629744e+01
1.469999999999999779e-02,2.778331045134600075e+01,1.937879467111351417e+01
1.499999999999999771e-02,2.751095086807255896e+01,1.942556035138811765e+01
1.529999999999999763e-02,2.723440540588229197e+01,1.945911036651257930e+01
1.559999999999999755e-02,2.695449295779702226e+01,1.948034141896820515e+01
1.589999999999999747e-02,2.667194520455931084e+01,1.949010054903939704e+01
1.619999999999999912e-02,2.638741533087146607e+01,1.948918670243146067e+01
1.650000000000000078e-02,2.610148590201724872e+01,1.947835247720551166e+01
1.680000000000000243e-02,2.581467597531396407e+01,1.945830599231067382e+01
1.710000000000000409e-02,2.552744751583791682e+01,1.942971283110728820e+01
1.740000000000000574e-02,2.524021118076465697e+01,1.939319802252789415e+01
1.770000000000000739e-02,2.495333153161933026e+01,1.934934803020158967e+01
1.800000000000000905e-02,2.466713172884676553e+01,1.929871272621912581e+01
1.830000000000001070e-02,2.438189775845243190e+01,1.924180733145281508e+01
1.860000000000001236e-02,2.409788223607480262e+01,1.917911430864614886e+01
1.890000000000001401e-02,2.381530782974902039e+01,1.911108519800771788e+01
1.920000000000001567e-02,2.353437033881747809e+01,1.903814238791053626e+01
1.950000000000001732e-02,2.325524146293495420e+01,1.896068081562163954e+01
1.980000000000001897e-02,2.297807129189375885e+01,1.887906959485933456e+01
2.010000000000002063e-02,2.270299054404696903e+01,1.879365356847453228e+01
2.040000000000002228e-02,2.243011257841956052e+01,1.870475478574234884e+01
2.070000000000002394e-02,2.215953520314991820e+01,1.861267390468563576e+01
2.100000000000002559e-02,2.189134230068333054e+01,1.851769152057789825e+01
2.130000000000002724e-02,2.162560528812461769e+01,1.842006942232755762e+01
2.160000000000002890e-02,2.136238442933354520e+01,1.832005177885937286e+01
2.190000000000003055e-02,2.110173001369825485e+01,1.821786625790956293e+01
2.220000000000003221e-02,2.084368341503234134e+01,1.811372507985856117e+01
2.250000000000003386e-02,2.058827804269693829e+01,1.800782600935900035e+01
2.280000000000003552e-02,2.033554019583652206e+01,1.790035328759087108e+01
2.310000000000003717e-02,2.008548983052419246e+01,1.779147850800196551e+01
2.340000000000003882e-02,1.983814124862725592e+01,1.768136143838189156e+01
2.370000000000004048e-02,1.959350371631676779e+01,1.757015079207838326e+01
2.400000000000004213e-02,1.935158201934640587e+01,1.745798495110317106e+01
2.430000000000004379e-02,1.911237696150676868e+01,1.734499264379699923e+01
2.460000000000004544e-02,1.887588581201491778e+01,1.723129357963308905e+01
2.490000000000004710e-02,1.864210270701653371e+01,1.711699904363989688e+01
2.520000000000004875e-02,1.841101900985520601e+01,1.700221245282027027e+01
2.550000000000005040e-02,1.818262363429204242e+01,1.688702987683663537e+01
2.580000000000005206e-02,1.795690333443602427e+01,1.677154052512389981e+01
2.610000000000005371e-02,1.773384296476451283e+01,1.665582720248303161e+01
2.640000000000005537e-02,1.751342571327137776e+01,1.653996673510188486e+01
2.670000000000005702e-02,1.729563331047247488e+01,1.642403036884488188e+01
2.700000000000005868e-02,1.708044621672166130e+01,1.630808414155140795e+01
2.730000000000006033e-02,1.686784379004206613e+01,1.619218923098453544e+01
2.760000000000006198e-02,1.665780443645367015e+01,1.607640227997663729e+01
2.790000000000006364e-02,1.645030574457781469e+01,1.596077570022793601e+01
2.820000000000006529e-02,1.624532460611837692e+01,1.584535795612705478e+01
2.850000000000006695e-02,1.604283732365733428e+01,1.573019382988001880e+01
2.880000000000006860e-02,1.584281970705674958e+01,1.561532466915575945e+01
2.910000000000007025e-02,1.564524715962789614e+01,1.550078861838144739e+01
2.940000000000007191e-02,1.545009475511086272e+01,1.538662083475060882e+01
2.970000000000007356e-02,1.525733730640179253e+01,1.527285368994050962e+01
3.000000000000007522e-02,1.506694942687019534e+01,1.515951695847206970e+01
3.030000000000007687e-02,1.487890558502296123e+01,1.504663799358671383e+01
3.060000000000007853e-02,1.469318015319520399e+01,1.493424189145853909e+01
3.090000000000008018e-02,1.450974745087891904e+01,1.482235164450787934e+01
3.120000000000008183e-02,1.432858178323838239e+01,1.471098828453287410e+01
3.150000000000008349e-02,1.414965747530560591e+01,1.460017101632963410e+01
3.180000000000008514e-02,1.397294890229906805e+01,1.448991734242786578e+01
3.210000000000008680e-02,1.379843051646382790e+01,1.438024317952827680e+01
3.240000000000008845e-02,1.362607687079086816e+01,1.427116296718979882e+01
3.270000000000009011e-02,1.345586263993702048e+01,1.416268976927896084e+01
3.300000000000009176e-02,1.328776263863428575e+01,1.405483536866013594e+01
3.330000000000009341e-02,1.312175183784797561e+01,1.394761035557406537e+01
3.360000000000009507e-02,1.295780537891669049e+01,1.384102421012270412e+01
3.390000000000009672e-02,1.279589858588359697e+01,1.373508537925097173e+01
3.420000000000009838e-02,1.263600697620702817e+01,1.362980134859016701e+01
3.450000000000010003e-02,1.247810627001935302e+01,1.352517870950391554e+01
