objective,TAPobject_data.mechanism.elementary_processes[0].forward.k,TAPobject_data.mechanism.elementary_processes[0].backward.k,TAPobject_data.mechanism.elementary_processes[1].forward.k,TAPobject_data.mechanism.elementary_processes[1].backward.k,TAPobject_data.mechanism.elementary_processes[2].forward.k,TAPobject_data.mechanism.elementary_processes[2].backward.k,TAPobject_data.mechanism.elementary_processes[3].forward.k,TAPobject_data.mechanism.elementary_processes[3].backward.k,TAPobject_data.mechanism.elementary_processes[4].forward.k,TAPobject_data.mechanism.elementary_processes[4].backward.k
4384103.551986552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200544386.47206977,0.005158876111752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999866929100926,0.0
136835095.39363113,0.0012517835248541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2426433277602276,0.0
55762328.15028253,0.0002110202565013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040903763506763,0.0
8257218.232201263,2.3771533237002808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046078286030016,0.0
4050085.562687696,4.576444800721592e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008870893199265,0.0
4040682.16230874,8.119031412405978e-06,0.0,0.0,1.021545908224412e-07,4.5823706424929287e-10,0.0,0.0,0.0,0.0007776397771237,5.407399120073633e-06
4040207.407936501,1.4322190235170682e-05,0.0,0.0,2.074675622462253e-07,1.4028840843191703e-09,0.0,7.366183442076583e-18,0.0,0.0007475502318548,9.411304851054888e-06
4040172.8901131335,1.9520116317262265e-05,0.0,0.0,2.862242920509323e-07,2.590862443992216e-09,0.0,3.745814042626101e-17,0.0,0.0007477234494602,1.208806913611213e-05
4040035.1657566703,4.03118206456286e-05,0.0,0.0,6.012512112697601e-07,7.342775882684403e-09,0.0,1.5782596836299872e-16,0.0,0.0007484163198817,2.2795126276341096e-05
4039489.787557979,0.000123478637959,0.0,0.0,1.861358888145072e-06,2.6350429637453152e-08,0.0,6.392972801099496e-16,0.0,0.0007511878015679,6.562335483725697e-05
4037394.635317682,0.0004561459072129,0.0,0.0,6.901789595646318e-06,1.0238104465652817e-07,0.0,2.565182527097753e-15,0.0,0.0007622737283128,0.0002369362690809
4030282.158884473,0.0017868149842284,0.0,0.0,2.70635124256513e-05,4.065035047328281e-07,0.0,1.0268723515048968e-14,0.0,0.0008066174352924,0.0009221879260555
4010050.225873938,0.0073498492424433,0.0,0.0,0.0001116577057069,3.811849047691388e-06,0.0,1.3672731381066302e-11,0.0,0.000896332186203,0.003794467630863
3997196.747515776,0.0125254747139284,0.0,0.0,0.0002692634772754,0.0009594110002701,0.0,6.176511493356508e-08,0.0,0.000990111332927,0.0076303194396579
3985269.1275828807,0.0204994514012869,1.4278881463917857e-06,0.0,0.0005292254358558,0.0026477433603243,0.0,1.6529495315684056e-06,0.0,0.0011372463577313,0.0137730416951689
3976576.0721514737,0.0303634397056868,7.106252000888782e-06,0.0,0.0008669868304409,0.004947313020395,0.0,8.120146523833392e-06,0.0,0.0013283022639557,0.0215810863929512
3969458.84968883,0.0440980123737335,2.1938845789926112e-05,0.0,0.0013521701328058,0.0083452642527875,0.0,2.917391221061308e-05,0.0,0.0016078356728917,0.0326286481109664
