# t,Ke0,Kd0,Ke1,Kd1,Ke2
0.000875,-1.52451628712898E-06,1.318164584514E-12,1.65336497817182E-08,-2.76243784704955E-17,-5.78562667314355E-17
0.00525,-0.009319575627185,1.68689116017962E-08,0.000620354414289,-1.56911194781466E-11,-1.60254171718954E-11
0.009625,-0.064743107604518,1.98337318214146E-07,0.008063702292774,-4.1699443258687E-10,-5.81725694286271E-10
0.014,-0.107482482470326,4.65365287791841E-07,0.018650609337167,-1.27115865017559E-09,-2.37923522479683E-09
0.018375,-0.111722859312704,6.07550738547316E-07,0.023103300134633,-1.7741275669726E-09,-4.21099436874851E-09
0.02275,-0.096553742755104,6.14373491054776E-07,0.021747911510845,-1.77104896633978E-09,-5.07450453220361E-09
0.027125,-0.076773501919745,5.48316472243342E-07,0.017882025917208,-1.50468054918886E-09,-5.02601690924592E-09
0.0315,-0.058511686958771,4.57635659658664E-07,0.013674579258657,-1.1740689956609E-09,-4.47014669140948E-09
0.035875,-0.043521872613185,3.67218908586939E-07,0.010022516242908,-8.721766736924E-10,-3.73420565646458E-09
0.04025,-0.031868047145968,2.87322474380691E-07,0.00714559972428,-6.27874091947228E-10,-3.00113271778361E-09
0.044625,-0.023074987690117,2.20891807642628E-07,0.004991881493726,-4.41911259619457E-10,-2.35183256582783E-09
