objective,TAPobject_data.reactor_species.inert_gasses['argon'].intensity
52478.69591161291,2.0
2.8479034083521566e-20,1.0
1.21223514902264e-20,1.0000000000005584
9518.160524898063,20.0
8959.98927886446,21.0
7215.411221977048,25.0
5320.601182073076,32.62785099411772
4559.292573020072,39.1952391531482
4280.8602335261785,44.76449686985226
4224.641532761974,48.02263009129083
4219.627432865762,49.215302889298414
4219.522237300294,49.40906218665564
4219.522023942327,49.418149921455615
4219.522023932969,49.41821051206704
4219.522023933105,49.418210530212605
