# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,-7.6220058943005E+018,50097377498843.5,-2.4966294396651E+032,-2.80964984411777E+033,0
0.004,-8.20486083246639E+019,539283273939120,-2.68716645585691E+033,-3.06695420648531E+034,0
0.006,-2.96122942938105E+020,1.9463360216765E+015,-9.69652232066387E+033,-1.12595765800149E+035,0
0.008,-6.32616729084839E+020,4.15801899278477E+015,-2.07105197511494E+034,-2.45247773256149E+035,0
0.01,-1.00148520900258E+021,6582492437927883,-3.2778614999874E+034,-3.96450464622597E+035,0
0.012,-1.31840868618289E+021,8665545715595913,-4.31404277205433E+034,-5.33392916713363E+035,0
0.014,-1.54210483423589E+021,1.01358410914806E+016,-5.04466182975272E+034,-6.37813207449432E+035,0
0.016,-1.66864240156106E+021,1.09675393521226E+016,-5.4571140860108E+034,-7.05445035595365E+035,0
0.018,-1.71344305845014E+021,1.12620028582763E+016,-5.60209916542437E+034,-7.40090846393718E+035,0
0.02,-1.69745374676413E+021,1.11569101426105E+016,-5.548322151839E+034,-7.48556865067401E+035,0
0.022,-1.64009707857633E+021,1.07799207714418E+016,-5.35942519119645E+034,-7.37804518982166E+035,0
0.024,-1.55683260745524E+021,1.02326462243397E+016,-5.08602619224981E+034,-7.13769854561566E+035,0
0.026,-1.45899443669538E+021,9.58958252358253E+015,-4.76520804481861E+034,-6.81085801163189E+035,0
0.028,-1.35447296099184E+021,8902591129756356,-4.42276556197521E+034,-6.43192246919572E+035,0
0.03,-1.24855608414402E+021,8206428033699376,-4.07596894411837E+034,-6.02565403425061E+035,0
0.032,-1.14466784017133E+021,7523598511158892,-3.73598724747849E+034,-5.60949599380363E+035,0
0.034,-1.04493890640946E+021,6868106950279993,-3.40975882582037E+034,-5.19551225711485E+035,0
0.036,-9.50620053644746E+020,6248174347480155,-3.10134598201531E+034,-4.7918805617764E+035,0
0.038,-8.62371506385821E+020,5668140194665446,-2.81288248661039E+034,-4.40399465032585E+035,0
