# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,-1.72862052330224E+019,113616195281013,-5.70102282560091E+032,-2.42027928904074E+033,0
0.004,-1.82461665696922E+020,1.19925701382074E+015,-6.01731184700547E+033,-2.58931038603624E+034,0
0.006,-6.45048546224499E+020,4.23968037897363E+015,-2.1271336089378E+034,-9.3048906329505E+034,0
0.008,-1.34852805088821E+021,8863408947860520,-4.44660932476175E+034,-1.98145499429708E+035,0
0.01,-2.08771809838618E+021,1.37218524478543E+016,-6.88341502981513E+034,-3.12875340363171E+035,0
0.012,-2.68673378066777E+021,1.76589797986009E+016,-8.8576303386032E+034,-4.10946572826602E+035,0
0.014,-3.07171478190437E+021,2.01893317780121E+016,-1.01258940318106E+035,-4.79574421053869E+035,0
0.016,-3.24896201171382E+021,2.1354321236053E+016,-1.0709182759048E+035,-5.17614378124508E+035,0
0.018,-3.2616511202569E+021,2.1437726251412E+016,-1.07500066213079E+035,-5.2993893446691E+035,0
0.02,-3.15975187136867E+021,2.07679805770451E+016,-1.04132088712748E+035,-5.23141156594651E+035,0
0.022,-2.98624419734774E+021,1.9627576440687E+016,-9.84053029423849E+034,-5.0334569804914E+035,0
0.024,-2.77340930002591E+021,1.82286871352355E+016,-9.13840039767677E+034,-4.75447070764825E+035,0
0.026,-2.54362299018124E+021,1.6718381292867E+016,-8.38057021582867E+034,-4.43052514648545E+035,0
0.028,-2.31152503387059E+021,1.51928812051404E+016,-7.61527650195332E+034,-4.08687835361823E+035,0
0.03,-2.08620502873482E+021,1.3711929810592E+016,-6.87245563534866E+034,-3.74055090304024E+035,0
0.032,-1.87296387454193E+021,1.23103682229282E+016,-6.16955488987981E+034,-3.40260834903326E+035,0
0.034,-1.67460004337606E+021,1.10065899387565E+016,-5.51577487713763E+034,-3.07994018630229E+035,0
0.036,-1.49230071412388E+021,9.80839795850563E+015,-4.91500804871332E+034,-2.77656253610622E+035,0
0.038,-1.32624058345324E+021,8716940567139602,-4.36781280360463E+034,-2.49454093847831E+035,0
0.04,-1.17597683480629E+021,7729307332321142,-3.87271525936104E+034,-2.23463264324115E+035,0
0.042,-1.04070655751441E+021,6840221034500161,-3.42705743405877E+034,-1.99672989286828E+035,0
0.044,-9.19433051043926E+020,6043130730008817,-3.02754502809412E+034,-1.78016492038873E+035,0
0.046,-8.11072363994234E+020,5330911997352321,-2.67059820702332E+034,-1.58391976228716E+035,0
0.048,-7.14520798078067E+020,4696310619436447,-2.35257374823189E+034,-1.40677069310277E+035,0
0.05,-6.28696935710707E+020,4.1322188178699E+015,-2.06990325555753E+034,-1.24738763038702E+035,0
0.052,-5.52567020061337E+020,3631842068404842,-1.8191765458318E+034,-1.10440234093523E+035,0
0.054,-4.85159438231649E+020,3.18879429485306E+015,-1.59718916037842E+034,-9.76454865015E+034,0
0.056,-4.25572067617257E+020,2797146154848230,-1.40096639070126E+034,-8.62224609729478E+034,0
