6.479901990491111974e+01,6.068495433548041262e+01,6.228477118872279306e+01,6.184406278323316286e+01,6.194987626853340856e+01
6.479813822456684136e+01,6.068407273192752882e+01,6.228385760480183109e+01,6.184315485114800026e+01,6.194896388339594751e+01
6.479411616738983071e+01,6.068007553894177875e+01,6.227971582688012120e+01,6.183903958874244466e+01,6.194482920737525689e+01
6.478366714404103277e+01,6.066975008524348567e+01,6.226902346871616345e+01,6.182841684246478309e+01,6.193415892869671069e+01
6.476345375077343647e+01,6.064986648420084947e+01,6.224845006022343341e+01,6.180797800922327667e+01,6.191363348604621564e+01
6.473088837636032622e+01,6.061794433696454831e+01,6.221545144581725850e+01,6.177519422678247452e+01,6.188071813501613150e+01
6.468450255940318527e+01,6.057259367102327019e+01,6.216861916609021677e+01,6.172866319093880350e+01,6.183401013976212113e+01
6.462393972760757777e+01,6.051349586890476928e+01,6.210765512332216787e+01,6.166808450496340299e+01,6.177321293613818654e+01
6.454973877008606564e+01,6.044118969012779274e+01,6.203314490337502463e+01,6.159403536622533437e+01,6.169891014046064726e+01
6.446305323239306517e+01,6.035680021625919522e+01,6.194627380581420795e+01,6.150768926654343716e+01,6.161228274341407740e+01
6.436539126146604417e+01,6.026178993736553480e+01,6.184856784567340782e+01,6.141055920624487641e+01,6.151485124332742060e+01
6.425841143943398492e+01,6.015776393727799842e+01,6.174169238049999819e+01,6.130429783485423201e+01,6.140827513930699411e+01
6.414377974984030573e+01,6.004633342273412211e+01,6.162731211488550542e+01,6.119055832312076149e+01,6.129421349565014054e+01
6.402307911420720643e+01,5.992902923408512095e+01,6.150700325345160024e+01,6.107090690016559620e+01,6.117423739810545413e+01
6.389775884444041054e+01,5.980725332571463326e+01,6.138220496761077527e+01,6.094677439398957119e+01,6.104978154450156325e+01
6.376911189319964990e+01,5.968225676600132346e+01,6.125419810080996541e+01,6.081943483551666674e+01,6.092212296338668409e+01
6.363827011474685236e+01,5.955513500241161751e+01,6.112410144159855463e+01,6.069000154957854676e+01,6.079237724192669390e+01
6.350621033869526855e+01,5.942683355529987210e+01,6.099287848280308566e+01,6.055943370893556477e+01,6.066150521408980012e+01
6.337376629721448751e+01,5.929815941203094809e+01,6.086134980774587433e+01,6.042854852275191035e+01,6.053032527007451336e+01
6.324164317456325080e+01,5.916979501483720583e+01,6.073020794120223087e+01,6.029803591245188699e+01,6.039952813503072804e+01
