# time,CO,CO2,Inert
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,7.815264808898669813e+00,4.412132806034625432e+00,1.107615156339583784e+01
5.999999999999999778e-02,4.731559488162505822e+00,4.516595026012757863e+00,9.223768437930598196e+00
8.999999999999999667e-02,2.053559734976283746e+00,3.266030354925366197e+00,5.670498547970725944e+00
1.199999999999999956e-01,8.150695210119631717e-01,2.100897926215921085e+00,3.240264029113081978e+00
1.499999999999999944e-01,3.156510578576808279e-01,1.284309297345652467e+00,1.819078280614856657e+00
1.799999999999999933e-01,1.214454115185721189e-01,7.646057558673133858e-01,1.017031941123490490e+00
2.099999999999999922e-01,4.664664773908671486e-02,4.482341926416111844e-01,5.680853489707374804e-01
2.399999999999999911e-01,1.790905135011598703e-02,2.602610531624023893e-01,3.172506371140643155e-01
2.700000000000000178e-01,6.875073825508588345e-03,1.501888428289492317e-01,1.771623658816753044e-01
3.000000000000000444e-01,2.639187242487329131e-03,8.632066895282836105e-02,9.893182842566985991e-02
