# t,Ke0,Kd0,Ke1,Kd1,Ke2
0.000875,-6.1258232411085E-12,5.35926382921878E-18,-0.015160087226598,2.15190656839365E-11,-8.12766373826649E-15
0.00525,-4.76854625091641E-06,8.37038965128981E-12,-11.8379883251922,3.66143467717349E-07,-5.19018330746011E-09
0.009625,-0.000203617905182,5.33705399162491E-10,-54.7955082706313,3.81171708136096E-06,-2.00852921238292E-07
0.014,-0.001025534216811,3.54007753022964E-09,-94.964367147175,8.35567079735793E-06,-8.80162984512485E-07
0.018375,-0.002126658586197,8.94731244111314E-09,-105.6047922218,1.00298330732236E-05,-1.54854506578491E-06
0.02275,-0.002921949910645,1.42365936927987E-08,-96.2412885543985,9.41461603935538E-06,-1.78306101527564E-06
0.027125,-0.003279490153432,1.78742321125198E-08,-80.6061297746433,7.99895532493161E-06,-1.66962180601875E-06
0.0315,-0.00331767667606,1.97489281784465E-08,-65.3746244846589,6.5448817572143E-06,-1.40778372672418E-06
0.035875,-0.003176215837011,2.0303248705756E-08,-52.5656699918599,5.29724733889828E-06,-1.12256320965758E-06
0.04025,-0.002951021727848,2.00099644405202E-08,-42.3357554731313,4.29025135663719E-06,-8.66487237358418E-07
0.044625,-0.002697150849399,1.92223372924825E-08,-34.2948806972645,3.49332880467874E-06,-6.53974278860238E-07
,,,,,
,,,,,
,,,,,
,,,,,
,0,0,,,
,0.000875,2.96803714384205E-05,-5.10778217787862E-05,7.25026832247813E-07,
,0.00175,0.000115250295104,-0.001365179328653,0.000422243610754,
,0.002625,0.000256434957786,-0.021368189713199,0.014864264662951,
,0.0035,0.000437662609007,-0.021698076370457,0.019091580193073,
,0.004375,0.00064412745809,-0.003232099054064,0.003069691564783,
,0.00525,0.000867137970575,-0.011098728440014,-8.48260779623491E-11,
,0.006125,0.001102016341398,-0.007314422368038,-1.09358674170706E-10,
,0.007,0.001344833499446,-0.004861168651108,-1.34635973917962E-10,
,0.007875,0.001590737987093,-0.003304483228436,-1.60304863807853E-10,
,0.00875,0.001833894279814,-0.002308516687092,-1.85844502689805E-10,
,0.009625,0.002068206293064,,,
,0.0105,0.002288137468155,,,
,0.011375,0.002489287647202,,,
,0.01225,0.002668650175071,,,
,0.013125,0.002824605596707,,,
,0.014,0.002956748468974,,,
,0.014875,0.003065635960669,,,
,0.01575,0.003152521946086,,,
,0.016625,0.003219114532976,,,
,0.0175,0.003267374868632,,,
,0.018375,0.003299361793738,,,
,0.01925,0.003317119359687,,,
,0.020125,0.00332260070907,,,
,0.021,0.003317620815723,,,
,0.021875,0.003303830955699,,,
,0.02275,0.003282708787099,,,
,0.023625,0.003255559110708,,,
,0.0245,0.003223521528406,,,
,0.025375,0.003187582206227,,,
,0.02625,0.003148587751752,,,
,0.027125,0.003107259838412,,,
,0.028,0.003064209676031,,,
,0.028875,0.003019951766705,,,
,0.02975,0.002974916625707,,,
,0.030625,0.002929462312752,,,
,0.0315,0.002883884729397,,,
,0.032375,0.002838426708972,,,
,0.03325,0.002793285968005,,,
,0.034125,0.002748622011322,,,
,0.035,0.002704562093214,,,
,0.035875,0.002661206338781,,,
,0.03675,0.002618632126026,,,
,0.037625,0.002576897822646,,,
,0.0385,0.002536045963261,,,
,0.039375,0.002496105944019,,,
,0.04025,0.002457096302746,,,
,0.041125,0.002419026644443,,,
,0.042,0.002381899264195,,,
,0.042875,0.002345710512565,,,
,0.04375,0.002310451942244,,,
,0.044625,0.002276111269264,,,
