# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,-2.66633748715244E+018,17525195858797.7,-8.53607826633224E+031,-2.99124617118171E+033,0
0.004,-2.8965094917556E+019,190380613892272,-9.26899591356321E+032,-3.29376875980626E+034,0
0.006,-1.05555216736082E+020,693789109232318,-3.37595259870338E+033,-1.22048617295208E+035,0
0.008,-2.27807363923992E+020,1.49732316928222E+015,-7.28113136287783E+033,-2.68450913411182E+035,0
0.01,-3.64446321485452E+020,2395418322145865,-1.16397967717677E+034,-4.38388957608037E+035,0
0.012,-4.84923449286063E+020,3187285680430870,-1.54753955592746E+034,-5.95974079722365E+035,0
0.014,-5.73305022667382E+020,3.76819667831826E+015,-1.82808208665183E+034,-7.20159134533974E+035,0
0.016,-6.26984471080023E+020,4.12101893565645E+015,-1.99756084494736E+034,-8.0493086218901E+035,0
0.018,-6.50624381835363E+020,4276398507138370,-2.07111725813481E+034,-8.53333939428816E+035,0
0.02,-6.51261195442278E+020,4280584220787156,-2.07139592397563E+034,-8.72083751513792E+035,0
0.022,-6.35689868104193E+020,4.1782376908896E+015,-2.02019184283667E+034,-8.68410839086596E+035,0
0.024,-6.09475625211827E+020,4.0059378090108E+015,-1.93531335630435E+034,-8.48671191296747E+035,0
0.026,-5.76805081455532E+020,3.79120219117626E+015,-1.83012776096895E+034,-8.1794954657263E+035,0
0.028,-5.40671563285869E+020,3553705256713304,-1.71416988248713E+034,-7.80111317979303E+035,0
0.03,-5.03142855409513E+020,3307038061440438,-1.59400855243751E+034,-7.38008903713303E+035,0
0.032,-4.65608816716939E+020,3060335817179487,-1.47404443691858E+034,-6.93708470640008E+035,0
0.034,-4.2897854204891E+020,2819573788656202,-1.35714368872354E+034,-6.48687067801953E+035,0
0.036,-3.93826516105925E+020,2588527928216781,-1.24510675364449E+034,-6.03988106147625E+035,0
0.038,-3.60496891947551E+020,2.36946027305288E+015,-1.13900227548296E+034,-5.60338241282769E+035,0
0.04,-3.29176373158175E+020,2.16359798254305E+015,-1.03940007063413E+034,-5.18233132512543E+035,0
0.042,-2.99944642245257E+020,1.97146479186751E+015,-9.46532041610506E+033,-4.77999702774482E+035,0
0.044,-2.72809139566094E+020,1.7931096056255E+015,-8.60402941254773E+033,-4.39841252491989E+035,0
0.046,-2.47729078428239E+020,1.62826434345633E+015,-7.8086669342996E+033,-4.03870274609685E+035,0
0.048,-2.24632093677828E+020,1.47645336710694E+015,-7.0767917552475E+033,-3.70132503272418E+035,0
0.05,-2.0342584448109E+020,1.33706974287515E+015,-6.4053490260357E+033,-3.38624706849365E+035,0
0.052,-1.84006142852112E+020,1.20942866843587E+015,-5.79092645478263E+033,-3.09307987488254E+035,0
0.054,-1.66262669991708E+020,1.09280504501912E+015,-5.22993379390136E+033,-2.82117819004739E+035,0
0.056,-1.50083000277512E+020,986459926131858,-4.71872862730665E+033,-2.56971686213406E+035,0
0.058,-1.35355424205733E+020,889659072103716,-4.2537041334192E+033,-2.33774935022484E+035,0
0.06,-1.21970909159582E+020,801685837744830,-3.83134962050279E+033,-2.12425268487738E+035,0
0.062,-1.09824502670606E+020,721850395696069,-3.44829350265912E+033,-1.92816318600417E+035,0
0.064,-9.88160311677652E+019,649494329057660,-3.101324142942E+033,-1.74839994208058E+035,0
0.066,-8.88507581602152E+019,583994957570721,-2.7874094769115E+033,-1.58388701368786E+035,0
0.068,-7.98396964404915E+019,524767389604352,-2.50370583082662E+033,-1.43356897851711E+035,0
0.07,-7.16997035364144E+019,471265149576602,-2.24756000483127E+033,-1.29642194243895E+035,0
0.072,-6.43534472790892E+019,422979951613381,-2.01650735518057E+033,-1.17146148335476E+035,0
0.074,-5.77292800400375E+019,379440872969801,-1.8082670865365E+033,-1.05774819707164E+035,0
0.076,-5.17610465886996E+019,340213091096364,-1.62073553577872E+033,-9.54391303417346E+034,0
0.078,-4.63878454266346E+019,304896314976475,-1.45197806713651E+033,-8.60550698521086E+034,0
0.08,-4.15537595187296E+019,273123015264037,-1.30022007402694E+033,-7.75437780333732E+034,0
0.082,-3.72075689030098E+019,244556535360783,-1.16383747421718E+033,-6.98315319158457E+034,0
0.084,-3.33024547782502E+019,218889146438012,-1.04134699434741E+033,-6.28496596281557E+034,0
0.086,-2.97957023422644E+019,195840094269458,-9.31396466916602E+032,-5.65343992630847E+034,0
0.088,-2.66484078051773E+019,175153673505046,-8.3275530500891E+032,-5.08267175142934E+034,0
0.09,-2.38251935516256E+019,156597355502387,-7.44305274476269E+032,-4.5672100016631E+034,0
0.092,-2.12939342658937E+019,139959988196868,-6.65031647559847E+032,-4.10203229800731E+034,0
0.094,-1.90254959415633E+019,125050080696079,-5.94014793997126E+032,-3.68252137713677E+034,0
0.096,-1.69934889890604E+019,111694180501771,-5.30422243953411E+032,-3.30444065000464E+034,0
0.098,-1.51740361165076E+019,99735347849272.7,-4.73501240381441E+032,-2.96390973498234E+034,0
0.1,-1.3545555233307E+019,89031728783447.7,-4.22571785613568E+032,-2.65738033135798E+034,0
0.102,-1.20885573144649E+019,79455226574283,-3.77020177368325E+032,-2.38161271038532E+034,0
0.104,-1.07854589269417E+019,70890269492052.1,-3.36293022225699E+032,-2.13365302862757E+034,0
0.106,-9.62040894240239E+018,63232671834694.4,-2.99891709500689E+032,-1.91081160953223E+034,0
0.108,-8.57912884651612E+018,56388584316448,-2.67367324890671E+032,-1.71064229165042E+034,0
0.11,-7.64876596632466E+018,50273529369451,-2.38315980955634E+032,-1.53092290380016E+034,0
0.112,-6.81775889400429E+018,44811516602821.5,-2.1237454014371E+032,-1.36963689719374E+034,0
0.114,-6.0757143553198E+018,39934233490682.5,-1.89216705469795E+032,-1.22495614071601E+034,0
0.116,-5.41329476772894E+018,35580306318713.6,-1.68549453922711E+032,-1.09522486705989E+034,0
0.118,-4.82211573856245E+018,31694626462229.5,-1.50109788071929E+032,-9.78944743336085E+033,0
0.12,-4.29465277476483E+018,28227737212274.7,-1.33661782054192E+032,-8.7476102927608E+033,0
0.122,-3.82415649799109E+018,25135276505861,-1.18993899056327E+032,-7.81449778593213E+033,0
0.124,-3.4045756938655E+018,22377471144791.3,-1.059165584965E+032,-6.97906033866712E+033,0
0.126,-3.0304875567337E+018,19918678312933,-9.42599322927652E+031,-6.23132962047605E+033,0
0.128,-2.69703452833734E+018,17726970431328,-8.38719508429918E+031,-5.56231875914144E+033,0
0.13,-2.39986716811639E+018,15773759657517.7,-7.46165005991923E+031,-4.96393086263817E+033,0
0.132,-2.13509252808403E+018,14033458566620.8,-6.63717963671345E+031,-4.42887529996343E+033,0
0.134,-1.89922754533585E+018,12483173811522.5,-5.90289126875718E+031,-3.95059120349233E+033,0
0.136,-1.68915699938295E+018,11102429785578.7,-5.24904598395744E+031,-3.52317767183709E+033,0
0.138,-1.50209561737028E+018,9872919550093.25,-4.66693911397416E+031,-3.1413301724092E+033,0
0.14,-1.33555394337692E+018,8778280500597.83,-4.14879292898329E+031,-2.80028266595272E+033,0
0.142,-1.18730761887129E+018,7803892455403.54,-3.6876600542559E+031,-2.4957550000938E+033,0
0.144,-1.05536975191943E+018,6936696043930.4,-3.27733664089296E+031,-2.2239051446724E+033,0
0.146,-9.37966079436277E+017,6165029455089.71,-2.9122843523932E+031,-1.98128586791594E+033,0
0.148,-8.33512653539755E+017,5478481774313.14,-2.58756031144111E+031,-1.7648054784918E+033,0
0.15,-7.40595806195409E+017,4867761296187.03,-2.29875422830654E+031,-1.57169228424835E+033,0
0.152,-6.57954168928484E+017,4324577344172.57,-2.04193200309107E+031,-1.39946244332913E+033,0
0.154,-5.84462544952661E+017,3841534266033.2,-1.81358515945799E+031,-1.24589090740317E+033,0
0.156,-5.19117449440122E+017,3412036393466.11,-1.61058552750511E+031,-1.10898517971414E+033,0
0.158,-4.61024151273906E+017,3030202870479.77,-1.43014464843777E+031,-9.86961632441272E+032,0
0.16,-4.09385065277472E+017,2690791358345.71,-1.26977742404391E+031,-8.78224148473695E+032,0
0.162,-3.63489358344887E+017,2389129719273.09,-1.12726957990836E+031,-7.81344872047025E+032,0
0.164,-3.22703646188473E+017,2121054868072.11,-1.00064855314776E+031,-6.9504687078673E+032,0
0.166,-2.86463669287889E+017,1882858060359.03,-8.88157453581638E+030,-6.18188528611207E+032,0
0.168,-2.54266847588901E+017,1671235956313,-7.8823178185075E+030,-5.49749504623177E+032,0
0.17,-2.25665623504716E+017,1483246865713.11,-6.9947861941339E+030,-4.88818107660787E+032,0
0.172,-2.00261511633452E+017,1316271638238.99,-6.20658033840329E+030,-4.34579949623103E+032,0
0.174,-1.77699781822476E+017,1167978716472.6,-5.50666468596564E+030,-3.8630775306319E+032,0
0.176,-1.57664709610205E+017,1036292918137.3,-4.88521909827958E+030,-3.43352199942471E+032,0
0.178,-1.39875334691643E+017,919367557570.271,-4.33350643743792E+030,-3.05133718901898E+032,0
0.18,-1.24081674147916E+017,815559556144.814,-3.84375437206425E+030,-2.71135117989579E+032,0
0.182,-1.100613425529E+017,723407226992.228,-3.40904991303432E+030,-2.4089497855706E+032,0
0.184,-9.76165360319575E+016,641610452014.078,-3.02324533148623E+030,-2.14001734049578E+032,0
0.186,-8.65713417385841E+016,569012997623.993,-2.68087425083736E+030,-1.90088364718656E+032,0
0.188,-7.67693382207397E+016,504586742586.607,-2.37707683002533E+030,-1.68827645948246E+032,0
0.19,-6.80714557062503E+016,447417614143.193,-2.10753306791131E+030,-1.49927893936677E+032,0
0.192,-6.03540686078486E+016,396693050522.671,-1.86840336023793E+030,-1.3312915798346E+032,0
0.194,-5.35072953753141E+016,351690826252.714,-1.65627553161119E+030,-1.18199813623976E+032,0
0.196,-4.74334835072921E+016,311769094511.946,-1.46811764679703E+030,-1.04933515386679E+032,0
0.198,-4.20458598106249E+016,276357515599.436,-1.30123597903286E+030,-9.31464720507685E+031,0
0.2,-3.72673281268402E+016,244949354677.857,-1.1532375789227E+030,-8.26750109983191E+031,0
0.202,-3.30293986186508E+016,217094444220.068,-1.02199694653563E+030,-7.33734016143256E+031,0
0.204,-2.92712343915257E+016,192392917690.198,-9.05626362244369E+029,-6.51119107240364E+031,0
0.206,-2.59388027513267E+016,170489630948.848,-8.02449479260813E+029,-5.77750657990509E+031,0
0.208,-2.29841197409988E+016,151069196778.728,-7.10977823277006E+029,-5.12601041372125E+031,0
