# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,-2.48256340369228E+019,163168085234718,-8.20127068806476E+032,-2.07007624253868E+033,0
0.004,-2.57163195500579E+020,1.69022225892194E+015,-8.49527199623948E+033,-2.17186968208368E+034,0
0.006,-8.90402553267718E+020,5852231861082061,-2.94129833791488E+034,-7.63666509004466E+034,0
0.008,-1.82113210199148E+021,1.19695191486331E+016,-6.01555561759193E+034,-1.58908930310658E+035,0
0.01,-2.75645310985252E+021,1.811698781358E+016,-9.10468091888193E+034,-2.44977060761062E+035,0
0.012,-3.46682212239748E+021,2.27859464491189E+016,-1.14504991352602E+035,-3.13965519497542E+035,0
0.014,-3.87291883908095E+021,2.54550548680026E+016,-1.2791147470645E+035,-3.57398641098473E+035,0
0.016,-4.00259041235497E+021,2.63073387224491E+016,-1.32187538054506E+035,-3.7621884746702E+035,0
0.018,-3.92649208286156E+021,2.58071835589886E+016,-1.29667974051689E+035,-3.75655565926394E+035,0
0.02,-3.71746960634062E+021,2.44333729139165E+016,-1.22759390202312E+035,-3.61693517869188E+035,0
0.022,-3.43411425009492E+021,2.25710021323864E+016,-1.13397160780521E+035,-3.39464728003497E+035,0
0.024,-3.1179426820222E+021,2.0492942766088E+016,-1.02952447379318E+035,-3.12820715400809E+035,0
0.026,-2.79600344786623E+021,1.83769736782144E+016,-9.23184220072381E+034,-2.84429793113714E+035,0
0.028,-2.48469759530603E+021,1.63308922822119E+016,-8.20365440551713E+034,-2.56034354381405E+035,0
0.03,-2.19317217732266E+021,1.44148185461014E+016,-7.24086909022407E+034,-2.2870988895434E+035,0
0.032,-1.92587477097566E+021,1.26579847375497E+016,-6.35815522097302E+034,-2.03074412235474E+035,0
0.034,-1.68432660781012E+021,1.10703894519462E+016,-5.56052011003897E+034,-1.79442283305558E+035,0
0.036,-1.46829729223259E+021,9.6505185404187E+015,-4.84718928907394E+034,-1.57931590746377E+035,0
0.038,-1.27656018142047E+021,8390309907400043,-4.21410102038744E+034,-1.38536974584395E+035,0
0.04,-1.1073676830988E+021,7278277447868308,-3.65547562298674E+034,-1.21178146962848E+035,0
0.042,-9.58744658301744E+020,6301439465545032,-3.16478402777075E+034,-1.05731844986492E+035,0
0.044,-8.28665699729562E+020,5446483853696357,-2.7353328437022E+034,-9.20526733722459E+034,0
0.046,-7.15159080492017E+020,4700451310513962,-2.3606072967623E+034,-7.99865567855633E+034,0
0.048,-6.16364757798976E+020,4.05111657632767E+015,-2.03446248924358E+034,-6.93792909990151E+034,0
0.05,-5.30563796826508E+020,3487181826910219,-1.75122032718869E+034,-6.00818443387028E+034,0
0.052,-4.56190180765171E+020,2998354298054711,-1.50570832583034E+034,-5.19535029413436E+034,0
0.054,-3.91831925046114E+020,2.57535361051297E+015,-1.29326313276705E+034,-4.48635856828161E+034,0
0.056,-3.36225863136574E+020,2209877500459318,-1.10971318527043E+034,-3.8692213187981E+034,0
0.058,-2.88248863919053E+020,1.89454409595614E+015,-9.51349610407759E+033,-3.3330456455285E+034,0
0.06,-2.46907224392391E+020,1622822200352466,-8.14891121299619E+033,-2.86800854633139E+034,0
0.062,-2.11325335335317E+020,1388956796977088,-6.97446529955333E+033,-2.46530678871869E+034,0
0.064,-1.80734303956243E+020,1.18789427098626E+015,-5.96477131979631E+033,-2.11709206273036E+034,0
0.066,-1.5446095083994E+020,1015210091203719,-5.09760338330893E+033,-1.81639844524946E+034,0
