# time,CO,CO2,Inert
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999737e-04,5.147301928025158416e-04,1.619075217820249086e-05,1.428301590475847672e-04
5.999999999999999474e-04,4.108519098409272631e-03,1.458590505718812102e-04,1.262030343850884320e-03
8.999999999999999754e-04,1.739918835320629006e-02,6.952932524225474220e-04,5.890123318490776867e-03
1.199999999999999895e-03,5.211828577975887583e-02,2.337759001570673730e-03,1.935851020249869034e-02
1.499999999999999814e-03,1.241876201654031620e-01,6.234481751127294094e-03,5.039030686000033760e-02
1.799999999999999734e-03,2.509574119196292252e-01,1.405890719354032856e-02,1.107633517269560192e-01
2.099999999999999870e-03,4.477016490873857446e-01,2.790452485923797243e-02,2.140454142077176936e-01
2.399999999999999790e-03,7.246326482655988110e-01,5.010059710128007132e-02,3.737788428731208534e-01
2.699999999999999709e-03,1.085237351341542533e+00,8.298582291808798139e-02,6.016350548454370006e-01
2.999999999999999629e-03,1.526100525293679011e+00,1.286919098279835916e-01,9.059731566467994490e-01
3.299999999999999548e-03,2.037906073035223642e+00,1.889745237128915289e-01,1.291031670086986605e+00
3.599999999999999468e-03,2.607108104024228989e+00,2.651090149550869857e-01,1.756773904021403654e+00
3.899999999999999387e-03,3.217785729587133048e+00,3.578508731787837793e-01,2.299263912010846678e+00
4.199999999999999740e-03,3.853332310635058988e+00,4.674497149632045323e-01,2.911386774905747821e+00
4.499999999999999660e-03,4.497789780566726847e+00,5.937008722970678054e-01,3.583727396684400990e+00
4.799999999999999580e-03,5.136769985271095962e+00,7.360186420515798522e-01,4.305458882263494935e+00
5.099999999999999499e-03,5.757990626443691085e+00,8.935179163378880185e-01,5.065140936039087549e+00
5.399999999999999419e-03,6.351496841306673247e+00,1.065094555934087639e+00,5.851375064084382238e+00
5.699999999999999338e-03,6.909652367066719592e+00,1.249498415497679371e+00,6.653299328997560380e+00
5.999999999999999258e-03,7.426978925057328595e+00,1.445395843961773341e+00,7.460929365984735995e+00
6.299999999999999177e-03,7.899908556951573679e+00,1.651420606694063320e+00,8.265365809792962537e+00
6.599999999999999097e-03,8.326497446934284952e+00,1.866213560957549422e+00,9.058893870878041099e+00
6.899999999999999016e-03,8.706134740409567030e+00,2.088452208584751446e+00,9.835001238015689040e+00
7.199999999999998936e-03,9.039267531663865540e+00,2.316871613947702357e+00,1.058833798902744938e+01
7.499999999999998855e-03,9.327153872895216580e+00,2.550278257318342234e+00,1.131463835242038130e+01
7.799999999999998775e-03,9.571649084457781953e+00,2.787558307659470547e+00,1.201062000382204609e+01
8.099999999999999561e-03,9.775026310394842710e+00,3.027681626150894090e+00,1.267387268648166199e+01
8.399999999999999481e-03,9.939829617039485754e+00,3.269702606017817814e+00,1.330274459499841555e+01
8.699999999999999400e-03,1.006875648895620046e+01,3.512758748103060213e+00,1.389623224424132175e+01
8.999999999999999320e-03,1.016456594432113469e+01,3.756067682913921679e+00,1.445387744041967792e+01
9.299999999999999239e-03,1.023000837652533335e+01,3.998923186641812677e+00,1.497567340409641012e+01
9.599999999999999159e-03,1.026777341996717752e+01,4.240690602983009150e+00,1.546198097197814469e+01
9.899999999999999079e-03,1.028045249204024358e+01,4.480801973195637444e+00,1.591345503209327461e+01
1.019999999999999900e-02,1.027051308646731620e+01,4.718751090759211841e+00,1.633098084185246535e+01
1.049999999999999892e-02,1.024028232727309451e+01,4.954088630695149043e+00,1.671561957043212843e+01
1.079999999999999884e-02,1.019193770421730072e+01,5.186417453489247542e+00,1.706856223988423338e+01
1.109999999999999876e-02,1.012750328204665529e+01,5.415388146370188061e+00,1.739109117003884464e+01
1.139999999999999868e-02,1.004885000041717369e+01,5.640694837625247260e+00,1.768454802809522164e+01
1.169999999999999860e-02,9.957698957995347655e+00,5.862071300334585011e+00,1.795030762097625043e+01
1.199999999999999852e-02,9.855626805814880598e+00,6.079287348485425291e+00,1.818975663003650922e+01
1.229999999999999843e-02,9.744072565969080557e+00,6.292145519388636643e+00,1.840427656172938953e+01
1.259999999999999835e-02,9.624345347360755198e+00,6.500478030498210380e+00,1.859523026635639908e+01
1.289999999999999827e-02,9.497632555739828675e+00,6.704143995236230502e+00,1.876395145484292470e+01
1.319999999999999819e-02,9.365008295526651594e+00,6.903026880578172708e+00,1.891173671740291695e+01
1.349999999999999811e-02,9.227441740327741115e+00,7.097032188451968260e+00,1.903983961615513465e+01
1.379999999999999803e-02,9.085805311409101748e+00,7.286085343078758214e+00,1.914946648536818685e+01
1.409999999999999795e-02,8.940882551940802614e+00,7.470129766962941176e+00,1.924177362780159939e+01
1.439999999999999787e-02,8.793375622278379211e+00,7.649125129130118772e+00,1.931786564373249959e+01
1.469999999999999779e-02,8.643912370145073965e+00,7.823045750277120014e+00,1.937879467110971632e+01
1.499999999999999771e-02,8.493052951160729336e+00,7.991879150642577478e+00,1.942556035138432691e+01
1.529999999999999763e-02,8.341295991218757422e+00,8.155624727565813359e+00,1.945911036650879922e+01
1.559999999999999755e-02,8.189084293944240756e+00,8.314292550833535245e+00,1.948034141896440374e+01
1.589999999999999747e-02,8.036810104837243784e+00,8.467902264991753469e+00,1.949010054903560274e+01
1.619999999999999912e-02,7.884819949482653634e+00,8.616482088809505058e+00,1.948918670242766638e+01
1.650000000000000078e-02,7.733419067000800062e+00,8.760067903013654345e+00,1.947835247720172092e+01
1.680000000000000243e-02,7.582875462201011274e+00,8.898702418268488401e+00,1.945830599230688307e+01
1.710000000000000409e-02,7.433423601060787256e+00,9.032434416150969980e+00,1.942971283110349745e+01
1.740000000000000574e-02,7.285267774480542968e+00,9.161318056575955993e+00,1.939319802252410696e+01
1.770000000000000739e-02,7.138585154986990311e+00,9.285412245760076289e+00,1.934934803019778826e+01
1.800000000000000905e-02,6.993528570353808149e+00,9.404780059383570645e+00,1.929871272621533862e+01
1.830000000000001070e-02,6.850229017112137164e+00,9.519488216121791524e+00,1.924180733144902788e+01
1.860000000000001236e-02,6.708797935738681772e+00,9.629606597177716054e+00,1.917911430864235456e+01
1.890000000000001401e-02,6.569329268014047152e+00,9.735207807858801132e+00,1.911108519800392358e+01
1.920000000000001567e-02,6.431901315695975008e+00,9.836366777611210921e+00,1.903814238790674551e+01
1.950000000000001732e-02,6.296578418294610735e+00,9.933160395255439923e+00,1.896068081561784879e+01
1.980000000000001897e-02,6.163412466399967649e+00,1.002566717646513261e+01,1.887906959485554026e+01
2.010000000000002063e-02,6.032444265717517240e+00,1.011396696079759217e+01,1.879365356847074153e+01
2.040000000000002228e-02,5.903704765730268811e+00,1.019814063582478170e+01,1.870475478573855455e+01
2.070000000000002394e-02,5.777216165734649245e+00,1.027826988612976677e+01,1.861267390468183791e+01
2.100000000000002559e-02,5.652992909897625040e+00,1.035443696512824019e+01,1.851769152057410395e+01
2.130000000000002724e-02,5.531042581956552517e+00,1.042672448785063466e+01,1.842006942232375621e+01
2.160000000000002890e-02,5.411366709231009153e+00,1.049521524297926156e+01,1.832005177885556790e+01
2.190000000000003055e-02,5.293961484735988599e+00,1.055999202257854641e+01,1.821786625790576508e+01
2.220000000000003221e-02,5.178818415375904927e+00,1.062113746808703851e+01,1.811372507985476332e+01
2.250000000000003386e-02,5.065924903455441886e+00,1.067873393125782400e+01,1.800782600935520605e+01
2.280000000000003552e-02,4.955264768062789926e+00,1.073286334884178217e+01,1.790035328758707678e+01
2.310000000000003717e-02,4.846818712259340245e+00,1.078360712990584069e+01,1.779147850799816766e+01
2.340000000000003882e-02,4.740564741443337837e+00,1.083104605476759552e+01,1.768136143837810437e+01
2.370000000000004048e-02,4.636478537739367134e+00,1.087526018460905242e+01,1.757015079207458541e+01
2.400000000000004213e-02,4.534533794796986150e+00,1.091632878090659986e+01,1.745798495109937321e+01
2.430000000000004379e-02,4.434702516956435581e+00,1.095433023388243221e+01,1.734499264379320493e+01
2.460000000000004544e-02,4.336955286353720851e+00,1.098934199924473454e+01,1.723129357962929120e+01
2.490000000000004710e-02,4.241261501187985061e+00,1.102144054254137551e+01,1.711699904363610614e+01
2.520000000000004875e-02,4.147589588057832621e+00,1.105070129050386818e+01,1.700221245281646887e+01
2.550000000000005040e-02,4.055907190987231736e+00,1.107719858880693309e+01,1.688702987683284107e+01
2.580000000000005206e-02,3.966181339503099146e+00,1.110100566571287217e+01,1.677154052512010196e+01
2.610000000000005371e-02,3.878378597892909507e+00,1.112219460111092140e+01,1.665582720247923376e+01
2.640000000000005537e-02,3.792465197559892864e+00,1.114083630049925944e+01,1.653996673509809057e+01
2.670000000000005702e-02,3.708407154202782330e+00,1.115700047349174540e+01,1.642403036884108758e+01
2.700000000000005868e-02,3.626170371375315948e+00,1.117075561646349691e+01,1.630808414154761365e+01
2.730000000000006033e-02,3.545720731825671823e+00,1.118216899897874406e+01,1.619218923098073759e+01
2.760000000000006198e-02,3.467024177876211866e+00,1.119130665367157640e+01,1.607640227997283944e+01
2.790000000000006364e-02,3.390046781977893442e+00,1.119823336927527890e+01,1.596077570022414527e+01
2.820000000000006529e-02,3.314754808460103508e+00,1.120301268651899562e+01,1.584535795612326048e+01
2.850000000000006695e-02,3.241114767394320584e+00,1.120570689663223263e+01,1.573019382987622272e+01
2.880000000000006860e-02,3.169093461397703315e+00,1.120637704221705455e+01,1.561532466915196338e+01
2.910000000000007025e-02,3.098658026119726294e+00,1.120508292026660513e+01,1.550078861837764421e+01
2.940000000000007191e-02,3.029775965080006905e+00,1.120188308712520353e+01,1.538662083474680919e+01
2.970000000000007356e-02,2.962415179458159464e+00,1.119683486520125903e+01,1.527285368993671000e+01
3.000000000000007522e-02,2.896543993375752191e+00,1.118999435125857822e+01,1.515951695846827008e+01
3.030000000000007687e-02,2.832131175155836456e+00,1.118141642612523690e+01,1.504663799358291598e+01
3.060000000000007853e-02,2.769145954996252712e+00,1.117115476567161991e+01,1.493424189145474834e+01
3.090000000000008018e-02,2.707558039448685783e+00,1.115926185292083872e+01,1.482235164450408504e+01
3.120000000000008183e-02,2.647337623055522116e+00,1.114578899116533428e+01,1.471098828452907981e+01
3.150000000000008349e-02,2.588455397460712515e+00,1.113078631797365503e+01,1.460017101632584158e+01
3.180000000000008514e-02,2.530882558278514605e+00,1.111430281998020497e+01,1.448991734242406793e+01
3.210000000000008680e-02,2.474590809974969829e+00,1.109638634835977911e+01,1.438024317952448072e+01
3.240000000000008845e-02,2.419552368990773861e+00,1.107708363489611259e+01,1.427116296718599919e+01
3.270000000000009011e-02,2.365739965310713622e+00,1.105644030856138649e+01,1.416268976927516832e+01
3.300000000000009176e-02,2.313126842663651317e+00,1.103450091253018961e+01,1.405483536865634164e+01
3.330000000000009341e-02,2.261686757518018176e+00,1.101130892155786789e+01,1.394761035557026396e+01
3.360000000000009507e-02,2.211393977020624568e+00,1.098690675965888808e+01,1.384102421011890449e+01
3.390000000000009672e-02,2.162223276011240980e+00,1.096133581802638624e+01,1.373508537924717388e+01
3.420000000000009838e-02,2.114149933231491918e+00,1.093463647313894960e+01,1.362980134858637093e+01
3.450000000000010003e-02,2.067149726834207613e+00,1.090684810500546575e+01,1.352517870950012302e+01
3.480000000000010169e-02,2.021198929288154034e+00,1.087800911550300675e+01,1.342122322165118042e+01
3.510000000000010334e-02,1.976274301762982910e+00,1.084815694676676756e+01,1.331793987138637547e+01
3.540000000000010499e-02,1.932353088070238645e+00,1.081732809959479980e+01,1.321533292621735711e+01
3.570000000000010665e-02,1.889413008228077784e+00,1.078555815183362832e+01,1.311340598565655036e+01
3.600000000000010830e-02,1.847432251710097839e+00,1.075288177671401613e+01,1.301216202865026794e+01
3.630000000000010996e-02,1.806389470432068656e+00,1.071933276110902966e+01,1.291160345783531405e+01
3.660000000000011161e-02,1.766263771524486659e+00,1.068494402368931517e+01,1.281173214083014145e+01
3.690000000000011326e-02,1.727034709933578105e+00,1.064974763295288795e+01,1.271254944875761872e+01
3.720000000000011492e-02,1.688682280888603282e+00,1.061377482510920345e+01,1.261405629218366009e+01
3.750000000000011657e-02,1.651186912269072549e+00,1.057705602179920490e+01,1.251625315464350940e+01
3.780000000000011823e-02,1.614529456901624416e+00,1.053962084763514540e+01,1.241914012391609035e+01
3.810000000000011988e-02,1.578691184812905934e+00,1.050149814754576383e+01,1.232271692119638296e+01
3.840000000000012154e-02,1.543653775461709232e+00,1.046271600391405343e+01,1.222698292830560085e+01
3.870000000000012319e-02,1.509399309970824943e+00,1.042330175349637855e+01,1.213193721306979356e+01
3.900000000000012484e-02,1.475910263376635667e+00,1.038328200411315372e+01,1.203757855298881019e+01
3.930000000000012650e-02,1.443169496912229954e+00,1.034268265110258511e+01,1.194390545730943565e+01
3.960000000000012815e-02,1.411160250337835764e+00,1.030152889353022161e+01,1.185091618760895038e+01
3.990000000000012981e-02,1.379866134330577809e+00,1.025984525014798798e+01,1.175860877698832496e+01
4.020000000000013146e-02,1.349271122944002643e+00,1.021765557509773892e+01,1.166698104796765101e+01
4.050000000000013312e-02,1.319359546146354978e+00,1.017498307335479879e+01,1.157603062917027437e+01
4.080000000000013477e-02,1.290116082445337931e+00,1.013185031590841945e+01,1.148575497087635533e+01
4.110000000000013642e-02,1.261525751605948820e+00,1.008827925467619124e+01,1.139615135952113611e+01
4.140000000000013808e-02,1.233573907466964048e+00,1.004429123715077132e+01,1.130721693120830551e+01
4.170000000000013973e-02,1.206246230860730684e+00,9.999907020777534683e+00,1.121894868430410952e+01
4.200000000000014139e-02,1.179528722640158955e+00,9.955146787062487235e+00,1.113134349117345678e+01
4.230000000000014304e-02,1.153407696816020067e+00,9.910030155410362696e+00,1.104439810911534536e+01
4.260000000000014470e-02,1.127869773807092191e+00,9.864576196693267462e+00,1.095810919055081634e+01
4.290000000000014635e-02,1.102901873805074429e+00,9.818803446550571579e+00,1.087247329251357364e+01
4.320000000000014800e-02,1.078491210255716259e+00,9.772729918421452666e+00,1.078748688548952472e+01
4.350000000000014966e-02,1.054625283457146345e+00,9.726373116311464173e+00,1.070314636164889777e+01
4.380000000000015131e-02,1.031291874276012210e+00,9.679750047295218707e+00,1.061944804251138841e+01
4.410000000000015297e-02,1.008479037981669268e+00,9.632877233757170643e+00,1.053638818608224170e+01
4.440000000000015462e-02,9.861750981983757880e-01,9.585770725373183865e+00,1.045396299349454061e+01
4.470000000000015627e-02,9.643686409751650590e-01,9.538446110835417713e+00,1.037216861519081057e+01
4.500000000000015793e-02,9.430485089728369852e-01,9.490918529323485231e+00,1.029100115667458581e+01
4.530000000000015958e-02,9.222037957673129283e-01,9.443202681724958580e+00,1.021045668386079974e+01
4.560000000000016124e-02,9.018238402683975696e-01,9.395312841608509657e+00,1.013053122805176542e+01
4.590000000000016289e-02,8.818982212528704290e-01,9.347262865953005928e+00,1.005122079056383200e+01
4.620000000000016455e-02,8.624167520106552631e-01,9.299066205636117743e+00,9.972521347028051153e+00
4.650000000000016620e-02,8.433694751027406289e-01,9.250735915686055577e+00,9.894428851386726009e+00
4.680000000000016785e-02,8.247466572293975506e-01,9.202284665300082267e+00,9.816939239606179868e+00
4.710000000000016951e-02,8.065387842071761737e-01,9.153724747633651404e+00,9.740048433124758986e+00
4.740000000000017116e-02,7.887365560530842368e-01,9.105068089363951955e+00,9.663752342053854250e+00
4.770000000000017282e-02,7.713308821743015686e-01,9.056326260031774211e+00,9.588046868148451196e+00
4.800000000000017447e-02,7.543128766617340775e-01,9.007510481165581950e+00,9.512927907562730212e+00
4.830000000000017613e-02,7.376738536856712880e-01,8.958631635191794729e+00,9.438391353405132023e+00
