# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,4.07648253304483E+018,-26792734827426.8,1.34735362904198E+032,2.72437610214839E+032,297610607.424414
0.004,5.33369615242204E+019,-350557954256297,1.76284505805261E+033,3.60661333076332E+033,2904244014.85201
0.006,2.29129953995758E+020,-1505960363264368,7.57278247843462E+033,1.57124549800268E+034,9243515621.18929
0.008,5.70666525098888E+020,-3750716212031991,1.88600202781215E+034,3.97501554932369E+034,16975094376.3679
0.01,1.03242627545438E+021,-6785642880041964,3.41195921791557E+034,7.31216595547454E+034,22549812767.5348
0.012,1.52489494285766E+021,-1.00224066812489E+016,5.03928649605913E+034,1.09866103089721E+035,24328180949.9036
0.014,1.96853298255516E+021,-1.29382321362684E+016,6.50512827569457E+034,1.44284171766554E+035,22749425993.4456
0.016,2.31761812533025E+021,-1.52326079528882E+016,7.65841889570672E+034,1.72756109836219E+035,19123469197.0089
0.018,2.55829896589449E+021,-1.68144946131606E+016,8.45342874947328E+034,1.93823431458327E+035,14696582574.9429
0.02,2.69719558115579E+021,-1.77274019798783E+016,8.91207648272421E+034,2.07537414033818E+035,10309482709.4268
0.022,2.75058284934046E+021,-1.80782965412432E+016,9.08817573770566E+034,2.14758060690502E+035,6405583342.59063
0.024,2.73723773436299E+021,-1.79905900307871E+016,9.04379658527184E+034,2.16650596876474E+035,3151772862.20759
0.026,2.67467756751652E+021,-1.75794154007569E+016,8.83683626846693E+034,2.14393800051146E+035,556713253.546428
0.028,2.57764543727925E+021,-1.69416719533464E+016,8.51601681264678E+034,2.09040979806594E+035,-1446187493.6192
0.03,2.45782797181044E+021,-1.61541704088496E+016,8.11995507176893E+034,2.01472052121225E+035,-2949719727.15402
0.032,2.3241391106855E+021,-1.52754979645288E+016,7.6781025731845E+034,1.9239269711033E+035,-4047538848.17143
0.034,2.1831976409519E+021,-1.43491568866717E+016,7.21232505418357E+034,1.82354024626337E+035,-4823072564.81875
0.036,2.03981688290141E+021,-1.3406782966712E+016,6.73852162804884E+034,1.71778476370463E+035,-5346084894.63617
0.038,1.89743223707462E+021,-1.24709555757904E+016,6.26803822195159E+034,1.60985153216172E+035,-5672916449.39175
0.04,1.75844646240362E+021,-1.15574670096865E+016,5.80880888669608E+034,1.50211848540876E+035,-5848207330.13036
0.042,1.62449668433168E+021,-1.06770774048795E+016,5.36623828625084E+034,1.3963311766801E+035,-5907000569.92021
0.044,1.49665578606528E+021,-9.83683838775754E+015,4.94386724673698E+034,1.2937462738658E+035,-5876723184.15815
0.046,1.37558224157713E+021,-9.0410778567541E+015,4.54386786675309E+034,1.19524357545755E+035,-5778864561.7557
0.048,1.26163090366452E+021,-8292128141038116,4.16740956886005E+034,1.1014127711566E+035,-5630319481.49889
0.05,1.15493484617811E+021,-7590863912097840,3.81492948289077E+034,1.01262052183256E+035,-5444429358.59967
0.052,1.05546598712127E+021,-6937100632020429,3.48633270515683E+034,9.29062431072013E+034,-5231776868.30157
0.054,9.63080220254509E+020,-6329891183454339,3.1811413668153E+034,8.50803484663543E+034,-5000785600.42841
0.056,8.77551221684372E+020,-5767748065463113,2.89860628304145E+034,7.77809681792803E+034,-4758174856.1413
0.058,7.98595931679491E+020,-5248810874435298,2.63779109886971E+034,7.09972903716426E+034,-4509304161.55402
0.06,7.25893864227165E+020,-4770973217540556,2.3976360454284E+034,6.47130548691689E+034,-4258438546.78667
