# time,CO,CO2,Inert
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999737e-04,5.743103189609051820e-04,2.722500409431476595e-05,1.428301590475847943e-04
5.999999999999999474e-04,4.716337469676525236e-03,2.041314658184624172e-04,1.262030343850895596e-03
8.999999999999999754e-04,2.063183269538233430e-02,7.632424810687730553e-04,5.890123318490828909e-03
1.199999999999999895e-03,6.380140563025571421e-02,1.934696027659579560e-03,1.935851020249872156e-02
1.499999999999999814e-03,1.565277426198206367e-01,3.799517734714925703e-03,5.039030686000023351e-02
1.799999999999999734e-03,3.246869432144691703e-01,6.240768555118420685e-03,1.107633517269555473e-01
2.099999999999999870e-03,5.930078720970572981e-01,9.009436002131158971e-03,2.140454142077166111e-01
2.399999999999999790e-03,9.806690236205861666e-01,1.183147198973837251e-02,3.737788428731188550e-01
2.699999999999999709e-03,1.498446066842835211e+00,1.448743179531855087e-02,6.016350548454337810e-01
2.999999999999999629e-03,2.147781085967039427e+00,1.684323342036082513e-02,9.059731566467944530e-01
3.299999999999999548e-03,2.921489459929511590e+00,1.884416261896574782e-02,1.291031670086979499e+00
3.599999999999999468e-03,3.805518461704570310e+00,2.049253499561167272e-02,1.756773904021395216e+00
3.899999999999999387e-03,4.781153174848937759e+00,2.182379397928306541e-02,2.299263912010836464e+00
4.199999999999999740e-03,5.827200501775786634e+00,2.288782696694396934e-02,2.911386774905734054e+00
4.499999999999999660e-03,6.921862059728715266e+00,2.373685327519756486e-02,3.583727396684384114e+00
4.799999999999999580e-03,8.044166879007363491e+00,2.441877085883695231e-02,4.305458882263476283e+00
5.099999999999999499e-03,9.174949041362534530e+00,2.497424474149148241e-02,5.065140936039067121e+00
5.399999999999999419e-03,1.029742229290680910e+01,2.543603839962172569e-02,5.851375064084360034e+00
5.699999999999999338e-03,1.139743321556428235e+01,2.582952545075412054e-02,6.653299328997536399e+00
5.999999999999999258e-03,1.246347942201908054e+01,2.617371584440073354e-02,7.460929365984710238e+00
6.299999999999999177e-03,1.348657043626247010e+01,2.648241835373761621e-02,8.265365809792930563e+00
6.599999999999999097e-03,1.445999428809248677e+01,2.676534593515076180e-02,9.058893870878005572e+00
6.899999999999999016e-03,1.537903722684885288e+01,2.702907971492952630e-02,9.835001238015651737e+00
7.199999999999998936e-03,1.624068989166202570e+01,2.727786728319385109e-02,1.058833798902741030e+01
7.499999999999998855e-03,1.704336179297731491e+01,2.751426111674132313e-02,1.131463835242033866e+01
