"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",172125467488796,293818966174025,0,0,0,0,0,0,0,0,0
"2",201599612784243,412265880263000,92219552550131424,73436563737733712,1.85914260852427e+31,1.48047828137325e+31,3.80189750095399e+31,3.02753895928267e+31,8.50444587254645e+33,6.77228704871301e+33,5.39292889360623e+33
"3",214912495835830,541767341690199,195403494233914336,148431362375550144,4.19946526408527e+31,3.18997545484419e+31,1.05863231628084e+32,8.04152646176564e+31,3.81825255588234e+34,2.90040068620829e+34,2.20318693366619e+34
"4",209097952418711,669750548170581,301874088436437376,216585406284638976,6.31212537803239e+31,4.52875649778926e+31,2.02180336208798e+32,1.45058194584885e+32,9.112796526933e+34,6.53815220908108e+34,4.69092382154821e+34
"5",186279632214670,783244991478033,403827756017900032,270764461346389792,7.52248858690901e+31,5.04379042764088e+31,3.16296067320833e+32,2.12074908219807e+32,1.63076856530453e+35,1.09342204834908e+35,7.33133935282006e+34
"6",152540487399004,871859714773854,495142373887250304,306796057441927040,7.5529259044661e+31,4.67988201342844e+31,4.31694688869787e+32,2.67483123135061e+32,2.45165970418702e+35,1.51907728181045e+35,9.41238208619102e+34
"7",115344545599859,929693896813624,572375309119452864,323986216565338688,6.60203699429619e+31,3.73700429303464e+31,5.32133831575167e+32,3.01208008192532e+32,3.27613494489589e+35,1.85441710857028e+35,1.04967068524323e+35
"8",80973865655721.7,955701445635785,634757168803879552,324484408195266240,5.13987417107316e+31,2.62747568765799e+31,6.06638343853546e+32,3.10110217998488e+32,4.02916663347917e+35,2.0596880426703e+35,1.05290131161832e+35
"9",53108204922993.7,952763010628070,683470005510103680,312031225713174848,3.62978651113502e+31,1.65714182775482e+31,6.5118494012379e+32,2.97291810020451e+32,4.67131248431981e+35,2.13263983557508e+35,9.73634858200663e+34
"10",32777682607579.2,926133328965243,720698854858562688,290719224816052352,2.36228383201998e+31,9.52910247894203e+30,6.67463229631599e+32,2.69244763473086e+32,5.19406839394444e+35,2.09521012410298e+35,8.45176676776464e+34
"11",19190567839919.1,881919381772717,748846137970779392,264159666814748512,1.43707826123897e+31,5.06937400657887e+30,6.60421923042076e+32,2.3296753004655e+32,5.60770538353752e+35,1.97814946301872e+35,6.97803295716789e+34
